Abnormality of the breast	HP:0000769
Lymphocytic interstitial pneumonitis	None
Lymphoid interstitial pneumonitis	None
Follicular bronchiolitis	None
Neonatal inspiratory stridor	None
Pulmonary artery aneurysm	None
Abnormality of the pharynx	None
Neonatal pneumothorax	None
Spontaneous neonatal pneumothorax	None
Chronic sinopulmonary infection	None
Recurrent sinopulmonary infections	None
Recurrent sinus and lung infections	None
Short lines (pumonary CT finding)	None
Interlobular septal thickening	None
Septal lines (pulmonary CT finding)	None
Interlobular lines (pulmonary CT finding)	None
Interlobular septal thickening on pulmonary HRCT	None
Peripheral lines (pulmonary CT finding)	None
Septal thickening (pulmonary CT finding)	None
Episodic upper airway obstruction	None
Pulmonary necrosis	None
Abnormality of the upper respiratory tract	None
Upper respiratory tract issues	None
Tracheobronchmegaly	None
Snores	None
Snore	None
Snoring	None
Snoring symptoms	None
Abnormal bronchus morphology	None
Abnormality of the bronchi	None
Beaded septum sign	None
Elevated forced expiratory volume in one second	None
Elevated FEV1	None
Chronic lung disease	None
Shallow breathing	None
Hypopnea	None
Laryngeal mass	None
Upper respiratory tract infections	None
Recurrent upper respiratory infection	None
Recurrent URI	None
Frequent upper respiratory infections	None
Upper respiratory tract infections, recurrent	None
Recurrent colds	None
Recurrent upper respiratory and lower respiratory infections	None
Recurrent upper respiratory infections	None
Recurrent upper respiratory tract infections	None
Frequent upper respiratory tract infections	None
Reduced FEV1/FVC ratio	None
Obstructive deficit on pulmonary function testing	None
Obstructive deficit on pulmonary function test	None
Pleural effusion	None
Fluid around lungs	None
Interstitial pneumonitis	None
Impaired pulmonary function	None
Abnormal respiratory system physiology	None
Functional respiratory abnormality	None
Abnormal respiration	None
Respiratory problem	None
Absent bronchoalveolar surfactant-protein C	None
Swollen throat	None
Throat swelling	None
Pharyngeal edema	None
Pharyngeal oedema	None
Exertional dyspnea	None
Exertional dyspnoea	None
Exertional breathlessness	None
Shortness of breathing upon physical activity	None
Respiratory paralysis	None
Abnormal alveolar volume	None
Nocturnal hypoxemia	None
Sleep hypoxemia	None
Sleep-related hypoxemia	None
Absent/underdeveloped lungs	None
Absent/small lungs	None
Aplasia/Hypoplasia of the lungs	None
Anomalous tracheal cartilage	None
Abnormal tracheal cartilaginous ring	None
Abnormality of lung artery	None
Abnormality of the pulmonary artery	None
Peripheral pulmonary vessel aplasia	None
O2 desaturation on exertion	None
Oxygen desaturation on exertion	None
Pulmonary pneumatocele	None
Pulmonary pneumatocoele	None
Noisy breathing	None
Stridor	None
Tracheobronchomalacia	None
Vocal cord polyp	None
Dminished respiratory ciliary beat frequency	None
Reduced respiratory ciliary beating frequency	None
Intercostal muscle weakness	None
Dependence on diaphragmatic breathing	None
Muscle weakness between ribs	None
Architectural distortion of the lung	None
Chylothorax	None
Expiratory air trapping	None
Intermittent episodes of respiratory insufficiency due to muscle weakness	None
Bronchomegaly	None
Recurrent infections due to aspiration	None
Cardiorespiratory arrest	None
Lung adenocarcinoma	None
Increased blood pressure in blood vessels of lungs	None
Pulmonary artery hypertension	None
Pulmonary arterial hypertension	None
Primary pulmonary hypertension	None
Lung fibroma	None
Type II pneumocyte hypertrophy	None
Hypertrophic alveolar type II cells	None
Hypertrophic alveolar type II pneumocytes	None
Intermittent hyperpnea at rest	None
Abnormal pharynx physiology	None
Hypersensitivity pneumonitis	None
Abnormal pulmonary artery physiology	None
Paratracheal air cyst	None
Tracheocele	None
Tracheal diverticulum	None
Tracheal diverticulosis	None
Diverticulosis of trachea	None
Progressive massive fibrosis	None
Abnormal RV/TLC ratio	None
Air trapping	None
Tumour of the nasopharynx	None
Neoplasm of the nasopharynx	None
Tumor of the nasopharynx	None
Neoplasia of the nasopharynx	None
Nasopharyngeal neoplasm	None
Extralobar sequestration	None
Vocal impairment, severe, due to laryngeal cartilage abnormalities	None
Laryngeal cartilage malformation	None
Dust particle inclusion in alveolar macrophages	None
Abnormal chest radiograph finding (lung)	None
Abnormal pulmonary thoracic imaging finding	None
Squawks	None
Increased pulmonary artery occlusion pressure	None
Increased pulmonary capillary wedge pressure	None
Increased pulmonary arterial wedge pressure	None
Pulmonary venous occlusion	None
Pulmonary venous stenosis	None
Pulmonary venoocclusive disease	None
Decreased DLCO	None
Decreased diffusing capacity	None
Decreased pre bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator FEF25-75%	None
Decreased prebronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator forced expiratory flow 25-75%	None
Respiratory insufficiency due to defective ciliary clearance	None
Rounded atelectasis	None
Pleural pseudotumor	None
Blesovsky syndrome	None
Helical atelectasis	None
Comet tail sign	None
Pleuroma	None
Folded lung syndrome	None
Single-lobed right lung	None
Pulmonary bullae	None
Pulmonary bulla	None
Laryngomalacia	None
Softening of voice box tissue	None
Anomalous origin of one pulmonary artery from ascending aorta	None
Hemitruncus	None
Reduced functional residual capacity	None
Abnormality of the antrum of Highmore	None
Abnormality of the maxillary antrum	None
Abnormality of the maxillary sinus	None
Abnormality of the upper jaw sinus	None
Bronchial neoplasm	None
Recurrent bronchiolitis	None
respiratory distress, episodic	None
Episodic respiratory distress	None
Episodic difficulty breathing	None
Posterior pharyngeal cleft	None
Pharyngitis	None
Intrapulmonary sequestration	None
Absent bronchoalveolar dimeric surfactant-protein B	None
Transient pulmonary infiltrates	None
Bronchopulmonary sequestration	None
Abnormal pulmonary fissure count	None
Laryngeal atresia	None
Mass on thoracic imaging	None
Absent lung vessels	None
Agenesis of pulmonary vessels	None
Tracheal cartilaginous sleeve	None
Squamous cell lung carcinoma	None
Episodic under breathing	None
Episodic hypoventilation	None
Episodic slow breathing	None
Bilobed right lung	None
Neoplasm of the respiratory system	None
Respiratory system tumour	None
Respiratory system tumor	None
Pulmonary arterial hypertension with positive acute response to NO challenge	None
Repeated pneumothorax	None
Repeated pneumothoraces	None
Laryngeal calcification	None
Laryngeal calcifications	None
Asphyxia neonatorum	None
Neonatal asphyxia	None
Hypoventilation during sleep	None
Nocturnal hypopnea	None
Nocturnal hypoventilation	None
Nocturnal under breathing	None
Nocturnal slow breathing	None
Centriacinar emphysema	None
Centrilobular emphysema	None
Bradypnea	None
Aplasia of the epiglottis	None
Absent epiglottis	None
Cartilaginous ossification of larynx	None
Ground glass opacities	None
GGO	None
Ground-glass opacification	None
Ground-glass opacification on pulmonary HRCT	None
Abnormal O2 blood concentration	None
Abnormal blood oxygen level	None
Abnormal blood oxygen levels	None
Abnormal blood O2 level	None
Intralobar sequestration	None
Bronchopulmonary anastomosis	None
Exercise-induced asthma	None
Inferior mediastinal mass	None
Blood clot in artery of lung	None
Pulmonary embolism	None
Restrictive lung disease	None
Restrictive ventilatory defect	None
Restrictive deficit on pulmonary function tests	None
Spirometric restriction	None
Restrictive respiratory insufficiency	None
Stiff lung or chest wall causing decreased lung volume	None
Restrictive deficit on pulmonary function testing	None
Restrictive respiratory disease	None
Restrictive respiratory syndrome	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Lipoid pneumonia	None
Nodular septal thickening on pulmonary HRCT	None
Bronchodysplasia	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Smoker-inclusions in alveolar macrophages	None
Platypnea	None
Abnormal respiratory motile cilium physiology	None
Aplasia/Hypoplasia of the frontal sinuses	None
Abnormally small frontal sinus	None
Adenoiditis	None
Air bronchogram	None
Absent/hypoplastic paranasal sinuses	None
Anterior mediastinal mass	None
Pulmonary parenchymal band	None
Hyperdense pulmonary mass	None
Respiratory distress	None
Respiratory difficulties	None
Breathing difficulties	None
Labored breathing	None
Progressive inspiratory stridor	None
Desquamative interstitial pneumonitis	None
Filling of the alveoli with desquamated epithelial cells	None
Intra-alveolar accumulation of macrophages	None
Filling of the alveoli with alveolar macrophages	None
Central apnea	None
Central apnoea	None
Total anomalous pulmonary venous connection, mixed	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connexion	None
Aplastic nasopharyngeal adenoids	None
Abnormality of the sphenoid sinus	None
Abnormality of the sphenoidal sinus	None
Reduced TLC	None
Reduced total lung capacity	None
Pneumonia	None
Nodular-random pattern on pulmonary HRCT	None
Abnormal breath sound	None
Abnormal lung auscultation finding	None
Broncholith	None
Pulmonary mass	None
Elevated bronchoalveolar lavage fluid eosinophil proportion	None
Pulmonary situs inversus	None
Exogenous lipoid pneumonia	None
Underdevelopment of the bronical cartilage	None
Bronchial cartilage hypoplasia	None
Elevated circulating hydroxybutyric acid concentration	None
Elevated circulating phytanic acid concentration	None
Elevated level of phytanic acid	None
Elevated levels of phytanic acid	None
Abnormal lymphocyte proliferation	None
Oligosacchariduria	None
Increased total iron binding capacity	None
High alpha-aminobutyrate levels in cerebrospinal fluid	None
Increased CSF alpha-aminobutyrate concentration	None
Decreased circulating amylase level	None
Hypoamylasemia	None
Reduced plasma INSL3 level	None
Reduced insulin-like factor 3 level	None
Elevated circulating o-phosphoserine concentration	None
Hypoxanthine high in blood	None
Increased circulating hypoxanthine concentration	None
Mild proteinuria	None
Fasting hyperinsulinemia	None
High blood insulin levels while fasting	None
Elevated CSF fumarate concentration	None
High blood cystine levels	None
Increased blood cystine concentraions	None
Hypercystinemia	None
Elevated urinary 3-hydroxybutyric acid	None
Hypotyrosinemia	None
Low blood tyrosine concentration	None
Decreased tyrosine in blood	None
Beta-galactosidase deficiency in fibroblasts and white blood cells	None
Decreased beta-galactosidase activity	None
Beta-galactosidase-1 deficiency	None
Decreased beta galactosidase activity	None
Abnormal UDP-glucose 4-epimerase activity level in plasma	None
Abnormal uridine diphosphate glucose-4-epimerase level in plasma	None
Elevated circulating E selectin level	None
Alkalemia	None
Elevated faecal pH	None
Elevated fecal pH	None
Stool pH high	None
Hypoglycemia	None
Hypoglycaemia	None
Low blood sugar	None
Low plasma citrulline	None
Elevated circulating hydroxyphenlyllactic acid concentration	None
Vitamin B3 deficiency	None
Alkaline urine	None
Abnormal hypoxanthine-guanine phosphoribosyltransferase level	None
Abnormal GPRT level	None
Abnormal GMP pyrophosphorylase level	None
Abnormal 6-hydroxypurine phosphoribosyltransferase level	None
Decreased fumarate hydratase activity	None
Hypomanganesemia	None
Decreased circulating globulin level	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Beta-aminoisobutyric aciduria	None
Renal Ca2+ wasting	None
Renal Ca wasting	None
Kidney Ca2+ wasting	None
Kidney Ca wasting	None
Renal calcium wasting	None
Kidney calcium wasting	None
Bipedal oedema	None
Bipedal edema	None
Elevated circulating ketone body concentration	None
Increased level of ketone bodies in blood	None
Hyperketonemia	None
Ketonemia	None
Increased level of D-threitol in urine	None
Abnormal vitamin B12 level	None
Abnormal serum cobalamin level	None
Heavy-chain paraproteinemia	None
Hypermagnesiuria	None
Decreased CSF neopterin level	None
Chronic absent circulating IgD	None
Chronic (near) absent IgM in blood	None
Decreased HDL3a concentration	None
Low cholesterol esterification rate	None
Decreased cerebrospinal fluid biopterin level	None
Decreased CSF biopterin level	None
Aseptic leukocyturia	None
Sterile pyuria	None
Elevated circulating methylsuccinic acid concentration	None
Low CSF albumin	None
Decreased CSF albumin concentration	None
Low serum iron	None
Decreased serum iron	None
Abnormal immunoglobulin level in body fluid	None
Glucose tolerance decreased	None
Impaired glucose tolerance	None
Decreased glucose tolerance	None
Mild fever	None
Low-grade fever	None
Chondroitin sulfate excretion in urine	None
Chondroitin sulphate excretion in urine	None
Abnormal circulating prealbumin concentration	None
Elevated urine pyridinoline level	None
Elevated urine hydroxylysyl-pyridinoline level	None
Abnormal circulating glutamine concentration	None
Abnormal circulating aspartate concentration	None
Abnormal circulating aspartic acid concentration	None
Increased level of xylitol in CSF	None
Increased level of xylitol in cerebrospinal fluid	None
Decreased cystatin C level	None
Abnormal circulating CPK concentration	None
Abnormal circulation phospho-CK concentration	None
Abnormal levels of creatine kinase in blood	None
Abnormal circulating CK concentration	None
Abnormal circulating creatine kinase concentration	None
Hyperhomocystinemia	None
Homocystinemia	None
Elevated blood homocystine	None
Reduced serum alpha-1-antitrypsin	None
Positive stool barbiturate test	None
Increased HDL2b concentration	None
Elevated circulating creatine phosphokinase	None
Increased CPK	None
Elevated serum creatine kinase	None
Elevated creatine kinase	None
Elevated serum creatine phosphokinase	None
High serum creatine kinase	None
Elevated blood creatine phosphokinase	None
Increased creatine phosphokinase	None
Elevated serum CPK	None
Increased serum creatine kinase	None
Increased serum creatine phosphokinase	None
Increased creatine kinase	None
Increased serum CK	None
Elevated circulating creatine kinase concentration	None
Viremia	None
Increased core 1 O-glycan level	None
Increased T-antigen concentration	None
Decreased urine bicarbonate concentration	None
Decreased urine HCO3 concentration	None
Abnormal CSF citrulline concentration	None
Abnormal citrulline levels in cerebrospinal fluid	None
Hypokalemic metabolic alkalosis	None
Increased globoside Gb4 concentration	None
Increased globoside Gb4 level	None
Edema	None
Fluid retention	None
Dropsy	None
Oedema	None
Hydrops	None
Water retention	None
Abnormal CSF ornithine concentration	None
Abnormal ornithine levels in cerebrospinal fluid	None
Pentacarboxylporphyrin high in stool	None
Increased fecal pentacarboxylporphyrin	None
Elevated circulating palmitoylcarnitine concentration	None
Acetonuria	None
Ketoaciduria	None
Ketone bodies in urine	None
Ketonuria	None
Ketonaciduria	None
Decreased blood asparagine concentration	None
Low blood asparagine levels	None
Hypoasparaginemia	None
Reduced haptoglobin level	None
Abnormal circulating hyaluronic acid concentration	None
Increased PIVKA-II	None
Increased prothrombin induced by vitamin K absence-II	None
Increased G6PD level in leukocytes	None
Increased glucose-6-phosphate dehydrogenase level in leukocytes	None
Abnormality of urine catecholamine level	None
Increased level of galactitol in erythrocytes	None
Increased level of galactitol in red blood cells	None
Abnormal urinary mineral level	None
Hydroxyphenylpyruvic aciduria	None
4-Hydroxyphenylpyruvic aciduria	None
Low histidine levels in cerebrospinal fluid	None
Decreased CSF histidine concentration	None
Reduced reactive oxygen species production in neutrophils	None
Hyperbeta-alaninemia	None
High blood beta-alanine levels	None
Hyperbetaalaninemia	None
Elevated circulating cartilage oligomeric matrix protein concentration	None
Abnormal glucose homeostasis	None
Neonatal hypoproteinemia	None
Metabolic crises during febrile infections	None
Stress/infection-induced lactic acidosis	None
Abnormal CSF isoleucine concentration	None
Abnormal isoleucine levels in cerebrospinal fluid	None
Abnormal C-reactive protein level	None
Abnormal circulating C-reactive protein concentration	None
Fatty casts	None
High blood bilirubin levels in neonate	None
Hyperbilirubinemia, neonatal	None
Neonatal hyperbilirubinemia	None
Low CSF 5-HIAA	None
Decreased CSF 5-hydroxyindolacetic acid concentration	None
Low CSF 5-hydroxyindolacetic acid	None
Decreased CSF 5-HIAA	None
Abnormal urine carbohydrate level	None
Fasting hypoglycemia	None
Low blood sugar when fasting	None
Abnormality of the concentration of heparan sulfate in the blood	None
Abnormal circulating heparan sulfate level	None
Abnormal circulating heparan sulphate level	None
Abnormality of the concentration of heparan sulphate in the blood	None
Hyperchloremic acidosis	None
Increased urine harderoporphyrin level	None
Increased alpha-globulin	None
Decreased circulating gamma-aminobutyric acid concentration	None
Decreased circulating GABA concentration	None
Decreased level of gamma-aminobutyric acid in serum	None
Chronic metabolic acidosis	None
Abnormal apolipoprotein level	None
Abnormal circulating apolipoprotein concentration	None
Positive urine opioid test	None
Elevated blood lysine	None
Hyperlysinemia	None
AA amyloidosis	None
High nonceruloplasmin-bound serum copper	None
Elevated urine mevalonate	None
Elevated urine mevalonate levels	None
Mevalonate aciduria	None
Elevated urine mevalonic acid level	None
Elevated urine mevalonic acid	None
Bacterial cell casts	None
Aciduria	None
Acidic urine	None
Hyperpepsinogenemia I	None
Abnormal CSF tryptophan concentration	None
Abnormal tryptophan levels in cerebrospinal fluid	None
Elevated urinary vanillylmandelic acid	None
Increased urinary vanillylmandelic acid	None
Abnormal G6PD level in tissue	None
Abnormal glucose-6-phosphate dehydrogenase level in tissue	None
Abnormal glucose-6-phosphate dehydrogenase level in leukocytes	None
Abnormal G6PD level in leukocytes	None
Hypomagnesiuria	None
Decreased urine magnesium	None
Low urine magnesium levels	None
Low specific anti-polysaccharide antibody titer	None
Decreased specific anti-polysaccharide antibody level	None
Specific anti-polysaccharide antibody deficiency	None
Depressed antibody response to polysaccharide antigens	None
Elevated circulating O-glutarylcarnitine concentration	None
Elevated circulating glutarylcarnitine concentration	None
Elevated plasma glutarylcarnitine, C5-DC	None
Positive urine methadone test	None
Low glutamine levels in cerebrospinal fluid	None
Decreased CSF glutamine concentration	None
Reduced cholinesterase level	None
Abnormal urinary sulfate concentration	None
Abnormal urinary sulphate concentration	None
Decreased circulating chylomicron concentration	None
Decreased circulating chylomicron levels	None
Hypochylomicronemia	None
Increased mitochondrial number	None
Transient hyperphenylalaninemia	None
Elevated circulating guanidinoacetic acid concentration	None
Increased urine neutrophil count	None
Increased serum surfactant protein level	None
Increased circulating surfactant protein level	None
Decreased levels of alpha-fetoprotein	None
Abnormal circulating organic amino compound concentration	None
Elevated circulating chitinase 3-like 1 level	None
Elevated circulating CHI3L1 level	None
Elevated circulating YKL40 level	None
Increased high-mannose N-glycans on glycoprotein concentration	None
Increased high-mannose N-glycan level	None
Platelet-activating factor acetylhydrolase deficiency	None
Excessive purine production	None
Type 1 transferrin isoform profile	None
Type I transferrin isoform profile	None
Isoelectric focusing of serum transferrin consistent with CDG type I	None
Abnormal isoelectric focusing of serum transferrin, type I pattern	None
Pleural empyema	None
Pyothorax	None
Increased circulating argininosuccinic acid	None
Decreased lipoprotein lipase level	None
Decreased circulating lipoprotein lipase concentration	None
Abnormal phytanic acid/pristanic acid ratio	None
Abnormal phytanic acid:pristanic acid ratio	None
Abnormal phytanic acid to pristanic acid ratio	None
Hyperchloremia	None
Elevated circulating succinate	None
Body fails to respond to insulin	None
Insulin resistance	None
Reduced gamma-glutamyltransferase level	None
Gamma-glutamyl transferase low in blood	None
Pyuria	None
High urine neutrophil count	None
Leukocyturia	None
Increased circulating trypsinogen	None
Increased immunoreactive trypsinogen	None
Cerebral amyloid angiopathy	None
Abnormal urine protein level	None
Cutaneous macular amyloidosis	None
Macular amyloidosis	None
Chloride high in stool	None
Elevations in fecal chloride concentration	None
Elevated stool chloride content	None
Abnormality of vitamin metabolism	None
HCO3-wasting renal tubular acidosis	None
Renal bicarbonate wasting	None
Bicarbonate-wasting renal tubular acidosis	None
Unexplained fevers	None
Reduced dihydropyrimidine dehydrogenase level	None
Dihydropyrimidine dehydrogenase deficiency	None
Decreased hydroxyproline in the blood	None
Low level of hydroxyproline in the blood	None
Decreased circulating hydroxyproline concentration	None
Congenital lactic acidosis	None
GM2-ganglioside accumulation	None
Ketotic hypoglycemia	None
Ketotic low blood sugar	None
Decreased UDP-glucose 4-epimerase level in plasma	None
Decreased uridine diphosphate glucose-4-epimerase level in plasma	None
Increased circulating very long-chain fatty acid concentration	None
Increased plasma levels of very long-chain fatty acid	None
Elevated circulating acetoacetic acid concentration	None
Elevated plasma linoleylcarnitine, C18:2	None
Elevated circulating linoleylcarnitine concentration	None
Abnormal mannosylation of N-linked protein glycosylation	None
Metabolic acidosis	None
Decreased acid sphingomyelinase activity	None
Quincke edema	None
Quincke oedema	None
Angiooedema	None
Angioneurotic oedema	None
Angioedema	None
Increased cerebrospinal fluid urate	None
Elevated CSF urate concentration	None
Increased CSF urate concentration	None
Elevated apolipoprotein A-II level	None
Elevated circulating apolipoprotein A-II concentration	None
Elevated Apo-AII level	None
Elevated APOAII level	None
Elevated apoA-II level	None
Elevated fecal sodium	None
Elevated faecal sodium	None
Decreased visual acuity, nonprogressive	None
Nonprogressive visual loss	None
Blindness present at birth	None
Congenital amaurosis	None
Congenital blindness	None
Alternating hypertropia	None
Retinopathy of prematurity prethreshold	None
ROP prethreshold	None
Allergic conjunctivitis	None
Near exotropia	None
Inferior rectus muscle underaction	None
Increased vertical cup-to-disc ratio - 0.9	None
Posterior crocodile shagreen of the cornea	None
ROP 4b	None
Retinopathy of prematurity stage 4b	None
Subhyaloid haemorrhage	None
Subhyaloid heme	None
Subhyaloid hemorrhage	None
Hemorrhage of the eye	None
Haemorrhage of the eye	None
Bleeding from the eye	None
Abnormal dark-adapted dim flash electroretinogram	None
Chorioretinal dysplasia	None
Blind spot enlargment	None
Blind-spot enlargment	None
Abnormal conjugate eye movement	None
Disconjugate eye movements	None
Oculomotor synkinesis	None
Pupillary abnormality	None
Pupillary abnormalities	None
Abnormal pupillary morphology	None
Abnormality of the pupil	None
Abnormal pupil morphology	None
Abnormal electrooculogram	None
Abnormal EOG	None
Asymmetry of the corneas	None
Corneal asymmetry	None
Coloboma	None
Ocular colobomas	None
Notched pupil	None
Ocular coloboma	None
ROP pre-plus	None
Retinopathy of prematurity pre-plus	None
Underdeveloped iris stroma	None
Hypoplastic iris stroma	None
Iris stromal hypoplasia	None
Hypoplastic iris stoma	None
Inferior oblique muscle overaction	None
Posterior retinal neovascularization	None
Neovascularization of peripheral and posterior retina	None
Posterior retinal neovascularisation	None
Retinal atrophy	None
Dropping of one upper eyelid	None
Unilateral ptosis	None
Exophoria	None
Simulated distance exotropia	None
Scintillating scotoma	None
Compensatory face turn to the left	None
Myopia	None
Close sighted	None
Near sightedness	None
Nearsightedness	None
Near sighted	None
Macular schisis	None
Vertical gaze palsy	None
Vertical supranuclear gaze palsy	None
Abnormal Vistech contrast sensitivity test	None
Spontaneous rupture of the globe	None
Spasmus nutans	None
Unaided visual acuity 0.7 LogMAR	None
Progressive visual field defects	None
Absent/underdeveloped fovea	None
Aplasia/Hypoplasia of the fovea	None
Narrow retinal arterioles	None
Retinal arteriolar narrowing	None
Retinal arteriolar constriction	None
Constricted retinal arterioles	None
Band keratopathy	None
Calcific band keratopathy	None
Abnormal optical coherence tomography	None
Anterior lenticonus	None
Sclerocornea	None
Hardening of skin and connective tissue	None
Glial remnants anterior to the optic disc	None
Bergmeister papilla	None
Eye tumor	None
Neoplasm of the eye	None
Eye tumour	None
Neoplasia of the eye	None
Unaided visual acuity 0.2 LogMAR	None
Slowed horizontal saccades	None
Developmental cataract	None
Cataract, congenital	None
Congenital cataract	None
Clouding of the lens of the eye at birth	None
Congenital cataracts, bilateral	None
Congenital cataracts	None
Bilateral congenital cataracts	None
Decreased corneal thickness	None
Thin cornea	None
Ciliary limbus	None
Circumlimbal hyperaemia	None
Circumlimbal hyperemia	None
Heterotropia	None
Optic neuritis	None
Polar cataract	None
Full-thickness macular hole	None
FTMH	None
Decreased tear drainage	None
Retinal flecks	None
Mizuo-Nakamura phenomenon	None
Mizuo phenomenon	None
Sluggish pupillary reaction	None
Slow pupillary light response	None
Corneal dystrophy	None
Pinhole visual acuity 0.5 LogMAR	None
Reduced corneal reflex	None
Decreased corneal reflex	None
Decreased blink reflex	None
Aplasia/Hypoplasia of the retina	None
Absent/small retina	None
Absent/underdeveloped retina	None
Peripheral fixation	None
Peripheral retinal atrophy	None
Wasting of the outer part of the retina	None
Astigmatism	None
Abnormal curving of the cornea or lens of the eye	None
Absent smooth pursuit	None
Mosaic central corneal dystrophy	None
Retinopathy of prematurity	None
Ultra-low vision	None
Asymmetry of iris pigmentation	None
Infantile (constant) exotropia	None
Infantile constant exotropia	None
Severe peripheral visual field loss	None
Severe constriction of peripheral visual field	None
Hyperdeviation	None
Cystic retinal degeneration	None
Peripheral cystoid degeneration	None
Peripheral cystoid retinal degeneration	None
Increased vertical cup-to-disc ratio - 0.6	None
Retinitis	None
Blue/yellow colour vision defect	None
Blue yellow color blindness	None
Blue/yellow color vision defect	None
Dyschromatopsia, blue-yellow	None
Tritanomaly	None
Blue yellow colour blindness	None
Blue-yellow dyschromatopsia	None
Hyporeflective spaces on macular OCT	None
Abnormal rectus muscle physiology	None
Trembling eye lens	None
Phakodonesis	None
Phacodonesis	None
Anterior chamber flare grade 1+	None
Unaided visual acuity 1.2 LogMAR	None
Coppock-like cataract	None
Central pulverulent cataract	None
Pulverulent nuclear cataract	None
cataracta pulverulenta centralis	None
Nuclear pulverulent cataract	None
Opsoclonus	None
Marginal corneal dystrophy	None
Hypopyon	None
Superior oblique muscle weakness	None
Superior oblique palsy	None
Vortex keratopathy	None
Cornea verticillata	None
Aplastic optic nerve	None
Optic nerve aplasia	None
Absent optic nerve	None
Day blindness	None
Hemeralopia	None
Prominent eyes	None
Exophthalmos	None
Prominent globes	None
Anterior bulging of the globe of eye	None
Proptosis	None
Protrusio bulbi	None
Ocular proptosis	None
Anterior bulging of the globe	None
Eyeballs bulging out	None
Protruding eyes	None
Bulging eye	None
Pinhole visual acuity 0.3 LogMAR	None
Complete anophthalmia	None
True anophthalmia	None
Completely missing eyeball	None
Total anophthalmia	None
Abnormality of binocular vision	None
Alternating strabismus	None
Alternating exotropia	None
Increased retinal vascularity	None
Map-dot-fingerprint corneal dystrophy	None
Abnormal contrast sensitivity	None
Reduced contrast sensitivity	None
Retinal dystrophy with early macular involvement	None
Abnormal foveal morphology on macular OCT	None
Depigmented fundus	None
Macular atrophy	None
Lateral rectus muscle restriction	None
Congenital stationary night blindness with normal fundus	None
VMT	None
Vitreomacular traction	None
Heterophoria	None
Sub-retinal fluid	None
Subretinal fluid	None
Anterior blepharitis	None
Loss of foveal reflex	None
Absent foveal reflex	None
Foveal reflex absent	None
Abnormality of the fundus	None
Abnormal fundus morphology	None
Non-accomodative esotropia	None
Moderate hyperopia	None
Moderate hypermetropia	None
Pinhole visual acuity 2.0 LogMAR	None
Retinal racemose hemangioma	None
Retinal racemose haemangioma	None
Abnormality of the corneal limbus	None
Abnormal corneal limbus morphology	None
Triangular nuclear cataract	None
True distance exotropia	None
Abnormality of eyeball size	None
Eye size difference	None
Abnormality of globe size	None
Hypermetric horizontal saccades	None
Retinal hole	None
Retinal holes	None
Peripapillary atrophy	None
Nystagmus, pendular	None
Pendular nystagmus	None
Nystagmus, continuous pendular	None
Abnormal paracentral response of multifocal electroretinogram	None
Instability of ocular fixation	None
Visual fixation instability	None
Progressive night blindness	None
Cyclophoria	None
Impaired ocular adduction	None
Inflammation of iris	None
Iritis	None
Cataracts, cortical pulverulent	None
Cortical pulverulent cataract	None
Incyclotropia	None
Uncontrolled eye movements	None
Slow decrease in sharpness of vision	None
Slow decrease in visual acuity	None
Decreased visual acuity, slowly progressive	None
Subacute deterioration of visual acuity	None
Bear track congenital hypertrophy of retinal pigment epithelium	None
Grouped congenital hypertrophy of retinal pigment epithelium	None
Internal ophthalmoplegia	None
Best corrected visual acuity 1.3 LogMAR	None
Abnormal medial rectus muscle physiology	None
Pseudopapilledema	None
Retinal exudate	None
Retinal exudates	None
Convergence insufficiency	None
Impaired convergence	None
Impaired ocular abduction	None
Abnormality of retinal pigmentation	None
Abnormality of RPE	None
Retinal pigmentary anomaly	None
Abnormality of the retinal pigment epithelium	None
Abnormal retinal pigmentation	None
Abnormality of retinal pigment epithelium	None
Pinhole visual acuity 3.0 LogMAR	None
Peripheral retinal degeneration	None
Intermittent microsaccadic pursuits	None
Abnormality of pattern reversal visual evoked potentials	None
Abnormality of pattern reversal VEP	None
Intraretinal hyporeflective spaces on macular OCT	None
Altitudinal visual field defect	None
Sunsetting eye	None
Eyes fixed downward	None
Sun setting eyes	None
Setting-sun eye phenomenon	None
Cyclotropia	None
Abnormal light- and dark-adapted electroretinogram	None
Abnormal rod and cone electroretinogram	None
Juvenile posterior subcapsular lenticular opacities	None
Peripapillary chorioretinal atrophy	None
Whites of eyes are a bluish-gray colour	None
Grey sclerae	None
Whites of eyes are a bluish-gray color	None
Blue sclera	None
Bluish sclerae	None
Gray sclerae	None
Blue sclerae	None
Blue outer white part of eyeball	None
Capsular cataract	None
Latent hyperopia	None
Latent hypermetropia	None
Corneal stromal oedema	None
Corneal stromal edema	None
Ocular hypertelorism	None
Increased distance between eye sockets	None
Hypertelorism	None
Wide-set eyes	None
