Pneumomediastinum	HP:0025421
Excessive bleeding during surgery	None
Protracted bleeding after surgery	None
Prolonged bleeding after surgery	None
Hemophagocytosis	None
Prolonged reptilase time	None
Increased factor IX activity	None
Abnormal CD69 upregulation upon TCR activation	None
Elevated glycated hemoglobin	None
Increased HbA1c levels	None
Elevated glycosylated hemoglobin	None
Elevated haemoglobin A1c	None
Elevated HbA1c	None
Elevated glycosylated haemoglobin	None
Elevated glycated haemoglobin	None
Elevated hemoglobin A1c	None
Abnormal white blood cell count	None
Abnormal leukocyte count	None
Sickled erythrocytes	None
Macrocytic hemolytic disease	None
Chronic partially decreased circulating IgG1	None
Chronic partially decreased IgG1 in blood	None
Elevated red cell adenosine deaminase level	None
Abnormality of multiple cell lineages in the bone marrow	None
Abnormal naive T cell proportion	None
Abnormal proportion of naive thymus-derived, alpha-beta T cells	None
Abnormal proportion of naive T cells	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Refractory sideroblastic anaemia	None
Refractory sideroblastic anemia	None
Increased anti-nut food product IgE antibody level	None
Circulating nucleated red blood cells	None
Chronic partially decreased circulating IgG2	None
Chronic partially decreased IgG2 in blood	None
Abnormal natural killer subset distribution	None
Enlarged platelet dense granules	None
Elevated factor V activity	None
Elevated coagulation factor V activity	None
Plasma factor V elevated	None
Aplastic anemia	None
Aplastic anaemia	None
Increased number of platelets in blood	None
Thrombocythaemia	None
Increased platelet count	None
Thrombocytosis	None
Thrombocythemia	None
Increased proportion of gamma-delta T cells	None
Increased proportion of gammadelta T cells	None
Increased proportion of gamma-delta T lymphocytes	None
Increased proportion of gamma-delta T-lymphocytes	None
Increased proportion of gamma-delta T-cells	None
Elevated proportion of gamma-delta T cells	None
Anomalous origin of right pulmonary artery from ascending aorta	None
Darier's sign	None
Positive regitine blocking test	None
Double inlet to single ventricle with common atrioventricular orifice	None
Dilated Virchow-Robin spaces	None
Perivascular spaces	None
Dilation of Virchow-Robin spaces	None
Dilated cerebral perivascular spaces	None
Abnormal pulmonary valve physiology	None
Vibratory urticaria	None
Tricuspid valve prolapse	None
Facial hemangioma	None
Facial hemangiomata	None
Echogenic intracardiac focus	None
Increased circulating troponin I concentration	None
Increased troponin I level in blood	None
Vascular skin abnormality	None
Vascular abnormalities restricted to skin	None
Skin vascular malformation	None
Pulmonary arterial plexiform lesion	None
Pulmonary venous hypertension	None
Telangiectasia on the cheeks	None
Telangiectases of the cheeks	None
Myxomatous mitral valve degeneration	None
Broken-heart syndrome	None
Takotsubo cardiomyopathy	None
Midline direction of ventricular apex	None
Spleen hemangioma	None
Splenic hemangioma	None
Apically displaced anterolateral papillary muscle	None
Apically displaced papillary muscles	None
Localized pulmonary hemorrhage	None
Localised pulmonary haemorrhage	None
Reduced contraction of the left ventricular apex	None
Aortic smooth muscle cell disorganization	None
Aortic smooth muscle cell disorganisation	None
Pseudoaneurysm	None
Vascular tortuosity	None
Twisted blood vessels	None
Aortic laminar medial collapse	None
Congenital atrioventricular dissociation	None
Anomalous pulmonary venous return	None
Increased blood pressure in blood vessels of lungs	None
Pulmonary artery hypertension	None
Pulmonary arterial hypertension	None
Primary pulmonary hypertension	None
Right ventricular abnormality	None
Abnormality of the right ventricle	None
Abnormal right ventricle morphology	None
Anomalous hepatic venous drainage into the left atrium	None
Tetralogy of Fallot with atrioventricular canal defect	None
Internal carotid artery calcification	None
Abnormal cardiac muscle cell morphology	None
Abnormal cardiomyocyte morphology	None
Focal necrosis of right ventricular muscle cells	None
Solitary angiokeratoma	None
Right atrial dilatation	None
Right atrial enlargement	None
Enlarged heart right atrium	None
Dilated right atrium	None
Coarctation of abdominal aorta	None
Obstructed carotid artery	None
Carotid artery occlusion	None
Pre-excitation syndrome	None
Preexcitation	None
Ventricular pre-excitation	None
Ventricular preexcitation	None
Right coronary artery ostial atresia	None
Long segment coarctation of the aorta	None
Pulmonary vein dilatation	None
Pulmonary vein varix	None
Abnormal cardiac index	None
Brachiocephalic artery aneurysm	None
Dilatated brachiocephalic artery	None
Innominate artery aneurysm	None
Subpulmonary stenosis	None
Subvalvar pulmonic stenosis	None
Infundibular pulmonary stenosis	None
Subvalvular pulmonary stenosis	None
Infundibular pulmonic stenosis	None
Subvalvular pulmonic stenosis	None
Subvalvar pulmonary stenosis	None
Sub-inner limiting membrane hemorrhage	None
Sub-ILM haemorrhage	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Tricuspid valve regurgitation	None
Tricuspid regurgitation	None
Tricuspid insufficiency	None
Atrial fibrillation	None
Quivering upper heart chambers resulting in irregular heartbeat	None
Abnormal subclavian artery morphology	None
Anomalous branches of internal carotid artery	None
Retinal vasculitis	None
Type 4 truncus arteriosus	None
Type IV truncus arteriosus	None
Persistent truncus arteriosus type IV	None
Supraglottic hemangioma	None
Bicuspid aortic valve with left-noncoronary cusp fusion	None
Premature atrial contractions	None
PACs	None
Ectopic supraventricular rhythms	None
Premature supraventricular beats	None
Atrial ectopic beats	None
Atrial premature complex	None
Abnormal direction of ventricular apex	None
Physical urticaria	None
Pulmonary venous occlusion	None
Pulmonary venous stenosis	None
Pulmonary venoocclusive disease	None
Abnormality of cardiovascular system morphology	None
Cardiovascular malformations	None
Partial diaphragmatic absence of pericardium	None
Vasovagal syncope	None
Reflex syncope	None
Situational syncope	None
Neurocardiogenic syncope	None
Abnormal cardiac output	None
Myocardial fiber disarray	None
Myocardial fibre disarray	None
Myofiber disarray	None
Perineal hemangioma	None
Single ventricle of indeterminate morphology	None
Retinal microaneurysm	None
Abnormal capillary morphology	None
Spider veins	None
Cutaneous telangiectasia	None
Telangiectasia	None
Telangiectases	None
Abnormality of the thymus	None
Lymphangioma of the orbit	None
Small heart	None
Hypoplastic heart	None
Underdeveloped heart	None
Oral cavity telangiectasia	None
Spider veins of the oral cavity	None
Angioectasias of the oral cavity	None
Oral cavity teleangiectasia	None
Angioectasias of the mouth	None
Spider veins of the mouth	None
Sinus tachycardia	None
Sinus tach	None
Sinus tachy	None
Quadruple gallop rhythm	None
Paroxysmal tachycardia	None
Dilatation of the superficial abdominal veins	None
Dilated superficial abdominal veins	None
Dextrotransposition of the great arteries	None
D-TGA	None
D-loop transposition of the great arteries	None
Fatty streak	None
Sudanophilic lesion	None
Medial calcification of large arteries	None
Muscular cardiac diverticulum	None
Misalignment of the pulmonary veins	None
Shawl sign	None
Aortic coarctation	None
Coarctation of aorta	None
Narrowing of the aorta	None
Coarctation of the aorta	None
Narrowing of aorta	None
Right-to-left shunt	None
Atherosclerotic cardiovascular disease	None
Narrowing and hardening of arteries	None
Atherosclerosis	None
Plaque build-up in arteries	None
Pulmonary fat embolism	None
Fat embolism	None
Interstitial cardiac fibrosis	None
Aortic rupture	None
Idiopathic non-cirrhotic portal hypertension	None
Intrahepatic portal vein sclerosis	None
Obliterative portal venopathy	None
Incomplete septal cirrhosis	None
Non cirrhotic portal fibrosis	None
Left ventricular hypoplasia	None
Underdeveloped left heart	None
Hypoplastic left heart	None
Heart left ventricle hypoplasia	None
ST segment elevation	None
Coronary atherosclerosis	None
Coronary disease	None
Plaque build-up in arteries supplying blood to heart	None
Coronary artery atherosclerosis	None
Left ventricular diastolic dysfunction	None
Calcified amorphous tumor of the heart	None
Calcified amorphous tumour of the heart	None
Abnormal superior vena cava morphology	None
Mesocardia	None
Reduced left ventricular ejection fraction	None
Reduced ejection fraction	None
Intestinal bleeding	None
Intestinal haemorrhage	None
Intestinal hemorrhage	None
Middle cerebral artery stenosis	None
Abnormal morphology of the conjunctiva vasculature	None
Abnormal morphology of the conjunctival vasculature	None
Abnormality of the vasculature of the conjunctiva	None
Abnormal vasculature of the conjunctiva morphology	None
Cardiac murmur	None
Heart murmurs	None
Heart murmur	None
Cardiac murmurs	None
Abnormal portal venous system morphology	None
Abnormal aorta morphology	None
Abnormal aortic morphology	None
Abnormality of the aorta	None
Bronchial artery hypertrophy	None
Anomalous origin of the right common carotid artery from the aorta	None
Conjunctival telangiectases	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Telangiectasia, conjunctival	None
Conjunctival telangiectasia	None
Anomalous muscle bundle of the right ventricle	None
Right ventricular anomalous muscle bundle	None
Prominent scalp veins	None
Abnormal S wave	None
Hemangioma	None
Hemangiomata	None
Strawberry mark	None
Abnormality of cardiovascular system electrophysiology	None
Abnormal QRS complex	None
Orthodromic atrioventricular reentrant tachycardia	None
Orthodromic AVRT	None
Small internal carotid artery	None
Decreased size of internal carotid artery	None
Aplasia of internal carotid artery	None
Deficiency of internal carotid artery	None
Internal carotid artery hypoplasia	None
Hypotrophic internal carotid artery	None
Cardiac hemangioma	None
Bidirectional ventricular tachycardia	None
Cerebral vasculitis	None
Hardened artery wall	None
Arteriosclerosis	None
Supraventricular tachycardia with a concealed accessory pathway on the septum	None
Congenital ventricular aneurysm	None
Fibrous cardiac diverticulum	None
Aortic isthmus hypoplasia	None
Type VI atherosclerotic lesion	None
Bicuspid aortic valve with right-noncoronary cusp fusion	None
Medial calcification of small arteries	None
Congenital defect of the pericardium	None
Heart right ventricle hypoplasia	None
Underdeveloped right heart chamber	None
Hypoplasia of right ventricle	None
Small right heart chamber	None
Abnormal PR segment	None
Criss-cross atrioventricular valves	None
Abnormal anatomic location of the heart	None
Pericardial late gadolinium enhancement	None
Recurrent cerebral hemorrhage	None
Recurrent cerebral haemorrhage	None
Recurrent hemorrhagic stroke	None
Continuous heart murmur	None
Abnormal inferior alveolar artery morphology	None
Abnormal celiac artery morphology	None
Abnormality of the celiac artery	None
Abnormal coeliac artery morphology	None
Abnormality of the coeliac artery	None
Left anterior fascicular block	None
Left anterior hemiblock	None
Arteriovenous fistulas of celiac and mesenteric vessels	None
Arteriovenous fistulas of coeliac and mesenteric vessels	None
Retinal vascular proliferation	None
Right sided atrium to left ventricle and absent left sided atrioventricular connection	None
Right sided atrium to left ventricle and absent left sided atrioventricular connexion	None
High-output congestive heart failure	None
Stroke	None
Cerebrovascular accidents	None
Cerebral vascular events	None
Cerebrovascular accident	None
Myocardial immune cell infiltration	None
Pulmonary hypertensive crisis	None
Pulmonary arterial hypertension crisis	None
Balanced double aortic arch	None
Hammock mitral valve	None
Mitral valve arcade	None
Hypertensive crisis	None
Partial right sided absence of pericardium	None
Central retinal vein occlusion	None
Vertebral artery aneurysm	None
High blood pressure	None
Systemic hypertension	None
Hypertension	None
Arterial hypertension	None
Quincke edema	None
Quincke oedema	None
Angiooedema	None
Angioneurotic oedema	None
Angioedema	None
Arterial fibromuscular dysplasia	None
Abnormal jugular venous pressure	None
Mitral annular calcification	None
Premature calcification of mitral annulus	None
Coffee grounds emesis	None
Coffee ground vomitus	None
Coffee grounds vomiting	None
Myocardial steatosis	None
Cerebellar hemorrhage	None
Cerebellar haemorrhage	None
Abnormal left ventricular ejection fraction	None
Patent ductus arteriosus after premature birth	None
P pulmonale	None
Biventricular noncompaction cardiomyopathy	None
Abnormal morphology of myocardial trabeculae	None
Vein of servelle	None
Lateral venous anomaly	None
Lateral marginal vein of Servelle	None
Red in the face	None
Facial erythema	None
Red face	None
Rosacea	None
Blushed cheeks	None
Ruddy face	None
Blushing	None
Shortened QT interval	None
Intermediate atrioventricular canal defect	None
Intermediate atrioventricular septal defect	None
Arterial tortuosity	None
Thin myocardium compact layer	None
Small vessel vasculitis	None
Supraventricular tachycardia with a manifest accessory pathway on the right free wall	None
Carotid sinus syncope	None
Solitary splenic abscess	None
Unilocular splenic abscess	None
Unifocal splenic abscess	None
Arterial rupture	None
Endocardial fibroelastosis	None
Type III atherosclerotic lesion	None
Secundum atrial septal defect	None
Patent ostium secundum	None
Ostium secundum atrial septal defect	None
Atrial septal defect, ostium secundum type	None
Cardiac biopsy: myocyte disarray	None
Myocardial sarcomere disarray	None
Myocardial sarcomeric disarray	None
Cardiomyocyte disarray	None
Carotid artery dissection	None
Cardiomyopathy, esp. right ventricular	None
Right ventricular cardiomyopathy	None
Cardiomyopathy, right ventricular	None
Aquagenic urticaria	None
Anterior cerebral artery stenosis	None
Pericardial constriction	None
Monoclonal light chain cardiac amyloidosis	None
Elevated left atrial pressure	None
Small intestinal haemorrhage	None
Small intestinal bleeding	None
Small intestinal hemorrhage	None
Congenital mitral stenosis	None
Elevated heart rate	None
Racing heart	None
Rapid heart beat	None
Increased heart rate	None
Tachycardia	None
Heart racing	None
Fast heart rate	None
Anterior displacement of the papillary muscles	None
Anteriorly displaced papillary muscles	None
Thickened aortic valve cusp	None
Apical hypertrophic cardiomyopathy	None
Hypoplastic aortic arch	None
Aortic arch hypoplasia	None
Underdeveloped aortic arch	None
Increased mitochondrial number	None
Decreased specific antibody response to vaccination	None
Increased circulating IgG1 level	None
Radiation-induced chromosome instability	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionising radiation	None
Chromosomal breakage induced by ionizing radiation	None
Abnormality of mucopolysaccharide metabolism	None
Abnormal mitochondrial number	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Abnormal natural killer cell physiology	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Decreased 3-hydroxyacyl-CoA dehydrogenase level	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Rectilinear profiles ultrastructurally	None
Mitochondrial respiratory chain defects	None
IgD hypergammaglobulinemia	None
Elevated IgD	None
Increased IgD level	None
Increased levels of IgD	None
Elevated serum IgD	None
Increased serum IgD	None
Increased circulating IgD level	None
Abnormal cellular physiology	None
Abnormality of cell physiology	None
Increased hepatitis A virus antibody level	None
Decreased expression of GPI-anchored proteins on the cell surface	None
Chronic (near) absent IgE in blood	None
Chronic absent circulating IgE	None
Abnormality of chromosome stability	None
Reduced granulocyte CD18 level	None
Abnormal iron deposition in mitochondria	None
Monoclonal elevation of intact IgG	None
Heavy-chain paraproteinemia	None
Cardiomyocyte inclusion bodies	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Abnormality of chromosome condensation	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Reduced reactive oxygen species production in neutrophils	None
Mitochondrial swelling	None
Elevated intracellular cystine	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Chronic decreased circulating IgD	None
Chronic decreased IgM in blood	None
Decreased IgG2 level in blood	None
Immunoglobulin IgG2 deficiency	None
Decreased circulating IgG2 level	None
Reduced IgG2 levels	None
Increased circulating specific IgE antibody	None
Abnormality of lysosomal metabolism	None
Abnormal IgD level in blood	None
Abnormal circulating IgD level	None
Partial absence of specific antibody response to meningococcus vaccine	None
Abnormal Langerhans cell morphology	None
Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Abnormal cell proliferation	None
Dysgammaglobulinemia	None
Rosette	None
Immunoglobulin deficiency	None
Decreased antibody level in blood	None
Reduced immunoglobulin levels	None
Hypogammaglobulinemia	None
Decreased circulating antibody level	None
Decreased serum immunoglobulin	None
Decreased immunoglobulin level	None
True ependymal rosette	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Defective lymphocyte proliferation to anti-CD3	None
Defective proliferation of lymphocytes following anti-CD3 stimulation	None
Chronic absent circulating IgD	None
Chronic (near) absent IgM in blood	None
Reduced granulocyte surface marker level	None
Abnormal immunoglobulin level in body fluid	None
Increased anti-bacteria IgE antibody level	None
Increased level of anti-bacteria IgE antibody	None
Abnormality of glycosaminoglycan metabolism	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Abnormal cadiomyocyte dystrophin staining	None
Perinuclear cardiomyocyte vacuolization	None
Absent cellular immunity	None
Lack of T cell function	None
Curvilinear profiles ultrastructurally	None
Curvilinear profiles ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Decreased natural antibody to blood group agents	None
Reduced isohemagglutinin level	None
Partial absence of isohemagglutinins	None
Impaired delayed hypersensitivity	None
Deficiency of delayed skin hypersensitivity	None
Decreased reactivity to skin test antigens	None
Reduced delayed hypersensitivity	None
Reduced granulocyte CD59 level	None
Intracellular accumulation of autofluorescent lipopigment storage material	None
Reduced granulocyte CD16 level	None
Partial IgA deficiency	None
Chronic (near) absent IgG4 in blood	None
Chronic (near) absent circulating IgG4	None
Flexner-Wintersteiner rosette	None
Abnormal lymphocyte physiology	None
Abnormal telomere morphology	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Zebra bodies	None
Decreased immunoglobulin level in body fluid	None
Endopolyploidy on chromosome studies of bone marrow	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Partial absence of specific antibody response to tetanus vaccine	None
Abnormal activity of mitochondrial respiratory chain	None
Granular osmiophilic deposits (GROD) in cells	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Impaired T cell function	None
T-cell dysfunction	None
Decreased specific antibody in blood	None
Abnormal specific antibody response	None
Decreased circulating level of specific antibody	None
Specific antibody deficiency	None
Premature separation of centromeric heterochromatin	None
Increased circulating IgG3 level	None
Chronic decreased IgG3 in blood	None
Chronic decreased circulating IgG3	None
Chronic partially decreased IgG3 in blood	None
Chronic partially decreased circulating IgG3	None
Respiratory complex II deficiency	None
Decreased activity of mitochondrial complex II	None
Decreased lymphocyte proliferation in response to mitogen	None
Reduced lymphocyte proliferation to mitogen	None
Increased anti-venom IgE antibody level	None
Chronic decreased circulating IgE	None
Chronic decreased IgE in blood	None
Abnormal mitochondria in muscle tissue	None
Abnormal mitochondria in muscle	None
Transient decreased circulating IgE	None
Transient decreased IgE in blood	None
Abnormality of T cell physiology	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Carnitine deficiency	None
Decreased plasma carnitine	None
Decreased circulating IgG subclass level	None
Decreased IgG subclass level in blood	None
Decreased T-cell activation	None
Decreased T-lymphocyte activation	None
Defective T cell activation	None
Decreased T lymphocyte activation	None
Decreased T cell activation	None
Profound depletion of T4+ lymphocytes	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Reduced fibroblast CD59 level	None
Increased circulating IgG4 level	None
Increased cellular sensitivity to UV light	None
Pyruvate dehydrogenase complex deficiency	None
Decreased activity of the PDH complex	None
Decreased activity of the pyruvate dehydrogenase complex	None
Whole-immunoglobulin paraproteinemia	None
Transient decreased IgG3 in blood	None
Transient decreased circulating IgG3	None
Mitochondrial depletion	None
Abnormal oocyte morphology	None
Abnormal lysosomal morphology	None
Reduced IL2RA upregulation upon TCR activation	None
Decreased CD25 upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Gamma heavy-chain disease	None
IgG heavy chain paraproteinemia	None
Oligoclonal T cell expansion	None
Decreased specific antibody response to infection	None
Abnormal T cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T-cell activation	None
Abnormal T lymphocyte activation	None
Myocyte cellular hypertrophy	None
Cardiomyocyte hypertrophy	None
Decreased CD69 upregulation upon TCR activation	None
Decreased activity of mitochondrial respiratory complexes	None
Decreased activity of mitochondrial respiratory chain	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased specific antibody response to polysaccharide vaccine	None
Cellular metachromasia	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally	None
Fingerprint profiles ultrastructurally in cells	None
Cardiomyocyte mitochondrial proliferation	None
Hypergammaglobulinemia	None
Increased circulating antibody level	None
Elevated immunoglobulin levels	None
Hyperglobulinemia	None
Increased immunoglobulin level	None
Increased serum gamma globulin	None
Increased antibody level in blood	None
Increased gamma globulin	None
Hypergammaglobulinaemia	None
Raised immunoglobulin levels	None
Defective B cell activation	None
Perivascular pseudorosette	None
Homer Wright rosette	None
Monoclonal elevation of IgG heavy chain	None
Abnormal B cell proliferation	None
Transient decreased circulating total IgG	None
Increased IgG level	None
Increased circulating IgG level	None
Increased total IgG in blood	None
Increased levels of IgG	None
Increased rate of premature chromosome condensation	None
Abnormal circulating IgA level	None
Abnormal IgA level in blood	None
Decreased plasma free carnitine	None
Cellular hypersensitivity to mitomycin C	None
Cellular hypersensitivity to diepoxybutane	None
Defective B cell differentiation	None
Decreased activity of mitochondrial complex I	None
Respiratory complex I deficiency	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Abnormal mitochondrial shape	None
Intraaxonal accumulation of curvilinear profiles	None
Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	None
Decreased FasL-mediated apoptosis	None
Abnormal lymphocyte apoptosis	None
Abnormality of redox activity	None
Premature chromatid separation	None
Short telomere length	None
Panhypogammaglobulinemia	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Absent specific antibody response	None
Impaired memory B cell generation	None
Abnormal IgM level in blood	None
Abnormal circulating IgM level	None
Abnormal flow cytometry test result	None
Increased hepatitis B virus antibody level	None
Intranuclear cardiomyocyte mitochondria	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Reduced fibroblast surface marker level	None
Abnormal mitochondrial morphology	None
Abnormal mitochondrion morphology	None
Monoclonal elevation of IgG light chain	None
Increased sensitivity to ionizing radiation	None
Increased sensitivity to ionising radiation	None
Defective DNA repair after ultraviolet radiation damage	None
Reduced granulocyte CD55 level	None
Abnormal buccal mucosa cell morphology	None
Partial absence of specific antibody response to unconjugated pneumococcus vaccine	None
Increased oocyte death	None
Decreased activity of mitochondrial complex III	None
Respiratory complex III deficiency	None
Folate-dependent fragile site at Xq28	None
Decreased immunoglobulin A	None
Gamma-A globulin deficiency	None
Decreased circulating IgA level	None
Low levels of immunoglobulin A	None
Decreased IgA	None
Reduced IgA levels	None
IgA deficiency	None
Reduced cell surface marker level	None
Abnormal lymphocyte proliferation	None
Abnormality of chromosome segregation	None
Decreased mitochondrial number	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Monoclonal elevation of IgG kappa chain	None
Abnormal CD25 upregulation upon TCR activation	None
Reduced CD95-induced lymphocyte apoptosis	None
Intracellular accumulation of Dol-PP-GlcNAc2Man5	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Oligoclonal elevation of circulating IgE	None
Anomalous origin of one pulmonary artery from ascending aorta	None
Hemitruncus	None
Abnormality of pulmonary situs	None
Abnormal pulmonary situs morphology	None
Tracheal stenosis	None
Narrowing of windpipe	None
Intermittent hyperpnea at rest	None
Pulmonary artery adventitial fibrosis	None
Pleural cobblestoning	None
Diffuse alveolar hemorrhage	None
Diffuse alveolar haemorrhage	None
Alveolar proteinosis	None
Detection of PAS-positive extracellular material in broncho-alveolar lavage	None
Pulmonary alveolar proteinosis	None
Intraalveolar phospholipid accumulation	None
Cartilaginous tracheobronchomalacia	None
Cartilaginous malacia	None
Pulmonary arterial medial hypertrophy	None
Hypertrophy of the pulmonary artery wall	None
Respiratory failure	None
Cystic pattern on pulmonary HRCT	None
Bronchomegaly	None
Laryngeal stenosis	None
Respiratory insufficiency due to defective ciliary clearance	None
Laryngeal mass	None
Pleural lymphangiectasia	None
Abnormal connection between trachea and oesophagus	None
Abnormal connection between trachea and esophagus	None
Tracheoesophageal fistula	None
Vocal impairment, severe, due to laryngeal cartilage abnormalities	None
Laryngeal cartilage malformation	None
Tracheomalacia	None
Floppy windpipe	None
Pulmonary bullae	None
Pulmonary bulla	None
Cardiorespiratory arrest	None
Upper airway obstruction	None
Flail chest	None
Paradoxical breathing	None
Paradoxical respiration	None
Abnormality on pulmonary function testing	None
Abnormal spirometry test	None
Abnormal pulmonary function test	None
Pulmonary necrosis	None
Abnormal pharynx morphology	None
Tracheal ectopic calcification	None
Tracheal calcifications	None
Tracheal calcification	None
Calcification of the trachea	None
Respiratory infections in early life	None
Subglottic stenosis	None
Expiratory crackles	None
Dyspnea	None
Abnormal breathing	None
Difficult to breathe	None
Shortness of breath	None
Dyspnoea	None
Breathing difficulty	None
Difficulty breathing	None
Trouble breathing	None
Panting	None
Noisy breathing	None
Stridor	None
Increased airway neuroendocrine cells	None
Abnormal pulmonary interstitial morphology	None
Interstitial pulmonary disease	None
Abnormality in area between air sacs in lung	None
Abnormal lung parenchyma morphology	None
Interstitial lung disease	None
Pulmonary artery vasoconstriction	None
Irregular septal thickening on pulmonary HRCT	None
Pulmonary opacity	None
Excessive dynamic airway collapse	None
Membranous tracheobronchomalacia	None
Abnormal pleura morphology	None
Abnormality of the pleura	None
Panacinar emphysema	None
Centrilobular groundglass opacity	None
Centrilobular ground-glass opacification on pulmonary HRCT	None
Centrilobular groundglass opacification	None
Bilateral apical pulmonary fibrosis	None
Adenoid hypertrophy	None
Adenoids large	None
Increased size of nasopharyngeal adenoids	None
Atypical perifissural nodule	None
Absence of frontal sinuses	None
Aplasia sinus frontalis	None
Absent frontal sinuses	None
Missing frontal sinus	None
Aplasia of frontal sinus	None
Absent frontal sinus	None
Sputum eosinophilia	None
Chronic bronchitis	None
Abnormally shaped lung	None
Abnormal lung morphology	None
Abnormality of the lungs	None
Lung disease	None
Unusal lung shape	None
Abnormality of lung structure	None
Peripheral pulmonary vessel aplasia	None
Pleural mesothelioma	None
Laryngeal papilloma	None
Laryngeal papillomatosis	None
Laryngeal papillomas	None
Mass on thoracic imaging	None
Intercostal retractions	None
Chest retractions	None
Hypercarbia	None
High blood carbon dioxide level	None
Hypercapnia	None
Blood clot in artery of lung	None
Pulmonary embolism	None
Abnormal alveolar macrophage morphology	None
Pulmonary arteriovenous malformation	None
Pulmonary AV malformation	None
Abnormal pulmonary alveolar system development	None
Abnormal pulmonary fissure morphology	None
Recurrent viral pneumonia	None
Peribronchial cuffing	None
Bronchial wall thickening	None
Peribronchial thickening	None
O2 desaturation on exertion	None
Oxygen desaturation on exertion	None
Platypnea	None
Neoplasm of the trachea	None
Tracheal neoplasm	None
Abnormal pharynx physiology	None
Absent bronchoalveolar surfactant-protein C	None
Agenesis of ethmoid sinuses	None
Failure of development of ethmoid sinuses	None
Missing ethmoid sinuses	None
Absent ethmoidal sinuses	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Organizing pneumonia	None
Swollen throat	None
Throat swelling	None
Pharyngeal edema	None
Pharyngeal oedema	None
Recurrent viral upper respiratory tract infections	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Pulmonary oligemia	None
Paranasal sinus neoplasm	None
Tumour of the paranasal sinuses	None
Neoplasm of the paranasal sinuses	None
Tumor of the paranasal sinuses	None
Abnormal chest radiograph finding (lung)	None
Abnormal pulmonary thoracic imaging finding	None
Pulmonary imaging sign	None
Accessory cardiac bronchus	None
Chylothorax	None
Absent/underdeveloped lungs	None
Absent/small lungs	None
Aplasia/Hypoplasia of the lungs	None
Decreased post-bronchodilator FEF25-75%	None
Decreased post bronchodilator forced expiratory flow 25-75%	None
Decreased postbronchodilator forced expiratory flow 25-75%	None
Decreased post-bronchodilator forced expiratory flow 25-75%	None
Honeycombing	None
Honeycomb cysts	None
Honeycomb lung	None
Spontaneous collapsed lung	None
Spontaneous pneumothorax	None
Abnormal respiratory system morphology	None
Adenoids small or absent	None
Aplastic/Hypoplastic nasopharyngeal adenoids	None
Bronchial atresia	None
Congenital bronchial atresia	None
Airway hyperresponsiveness	None
Laryngeal web	None
Partial laryngeal atresia	None
Laryngeal webs	None
Acute infectious pneumonia	None
Early inspiratory crackles	None
