Abnormality of the breast	HP:0000769
Sertoli cell neoplasm	None
Lumbar/sacral hemangioma	None
Lumbosacral hemangioma	None
Thoracic cystic lymphangioma	None
Intrathoracic cystic hygroma	None
Mediastinal cystic lymphangioma	None
Neuroepithelial cyst	None
Glioependymal cyst	None
Neuroglial cyst	None
Glioma	None
Cortical tubers	None
Gastric leiomyosarcoma	None
Enchondroma	None
Exostoses of the radial metaphysis	None
Bilineage myelodysplasia	None
Renal oncocytoma	None
Hereditary nonpolyposis colorectal carcinoma	None
Vulvar melanoma	None
Heart tumor	None
Cardiac neoplasia	None
Heart tumour	None
Cardiac neoplasm	None
Neoplasm of the heart	None
Neoplasm of the thymus	None
Pleuropulmonary blastoma	None
Large intestinal polyposis	None
Neurofibromata	None
Neurofibromas	None
multiple neurofibromas	None
Neurofibromatosis	None
Pulmonary paraglioma	None
Spleen hemangioma	None
Splenic hemangioma	None
Lymphangioma of the orbit	None
Pleomorphic xanthoastrocytoma	None
Glomeruloid hemangioma	None
External auditory canal exostoses	None
Exostosis of the external auditory canal	None
Neoplasia of the male external genitalia	None
Neoplasm of the male external genitalia	None
Synovial sarcoma	None
Malignant synovioma	None
Paraspinal hemangioma	None
Cerebellar hemangioblastoma	None
Hemangioblastoma, sporadic cerebellar	None
Chronic myeloid leukaemia	None
Chronic myelogenous leukemia	None
Chronic myelocytic leukemia	None
Chronic myelogenous leukaemia	None
Chronic myelocytic leukaemia	None
Chronic myeloid leukemia	None
Vaginal neoplasm	None
Vaginal neoplasia	None
Vaginal tumour	None
Vaginal tumor	None
Painful subcutaneous lipomas	None
Painful noncancerous fat tissue tumour under the skin	None
Painful noncancerous fat tissue tumor under the skin	None
Tracheal neoplasm	None
Neoplasm of the trachea	None
Lingual hamartoma	None
Hamartoma of tongue	None
Bladder tumor	None
Bladder cancer	None
Bladder tumour	None
Bladder neoplasm	None
Esophageal neoplasm	None
Esophageal tumour	None
Esophageal tumor	None
Neurilemmoma	None
Schwann cell tumor	None
Neurolemmoma	None
Neurinoma	None
Schwannomas	None
Schwannoma	None
Schwann cell tumour	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Oropharyngeal squamous cell carcinoma	None
Peripheral neuroepithelioma	None
Testicular neoplasia	None
Testicular tumour	None
Testicular cancer	None
Testicular tumor	None
Testicular neoplasm	None
Retinal astrocytic hamartoma	None
Neoplasm of the mouth	None
Neoplasm of the oral cavity	None
Lesion of oral cavity	None
Mouth neoplasm	None
Tumour of oral cavity	None
Mouth tumor	None
Tumor of oral cavity	None
Ganglioneuroma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Nonmedullary thyroid carcinoma	None
Cardiac fibroma	None
Neoplasm by histology	None
Stomach cancer	None
Gastric cancer	None
Small intestine carcinoid	None
Steatocystoma multiplex	None
Facial hemangioma	None
Facial hemangiomata	None
Ependymoblastoma	None
Cardiac myxoma	None
Bronchial neoplasm	None
Multiple exostoses of long tubular bones	None
Multiple long-bone exostoses	None
Neuroendocrine neoplasm	None
Neuroendocrine neoplasia	None
Peripheral Schwannoma	None
Anaplastic large-cell lymphoma	None
Central primitive neuroectodermal tumour	None
Central primitive neuroectodermal tumor	None
Multiple myeloma	None
Plasmocytoma	None
Kahler's disease	None
Testicular mesothelioma	None
Subungual fibroma	None
Subungual fibromas	None
Malignant mesothelioma	None
Neurocytoma	None
Kaposi's sarcoma	None
Anal canal squamous carcinoma	None
Primary gastric lymphoma	None
Gastric lymphoma	None
Hamartoma	None
Nose cancer	None
Nasal tumor	None
Tumor of the nose	None
Neoplasia of the nose	None
Neoplasm of the nose	None
Tumour of the nose	None
Nasal tumour	None
Nasal neoplasm	None
Altman type III sacrococcygeal teratoma	None
Craniofacial teratoma	None
Outer ear tumor	None
Outer ear tumour	None
Neoplasm of the outer ear	None
Alveolar rhabdomyosarcoma	None
Nephroblastomatosis	None
Gastrointestinal polyps	None
Growths in inner lining of intestine	None
Intestinal polyposis	None
Multiple intestinal polyps	None
Ceruminoma	None
Adenoma of the ceruminous gland	None
Neoplasm of the ceruminal gland	None
Ceruminous adenoma	None
Calcified amorphous tumor of the heart	None
Calcified amorphous tumour of the heart	None
Neoplasm of the gallbladder	None
Neoplasia of the gallbladder	None
Acral lentiginous melanoma	None
Head and neck tumour	None
Head and neck cancer	None
Head and neck tumor	None
Neoplasm of head and neck	None
Single trichilemmoma	None
Hypothalamic hamartoma	None
Multiple enchondromatosis	None
Altman type II sacrococcygeal teratoma	None
Phosphaturic mesenchymal tumor	None
Macroprolactinoma	None
Disseminated cutaneous warts	None
Hamartoma of the orbital region	None
Ampulla of Vater carcinoma	None
Benign muscle neoplasm	None
Vascular hamartoma	None
Myxoid liposarcoma	None
Rhabdomyosarcoma	None
Soft tissue neoplasm	None
T-cell lymphoma	None
T cell lymphoma	None
Large cell lung carcinoma	None
Hodgkin's lymphoma	None
Hodgkin lymphoma	None
Hodgkin disease	None
Giant cell tumor of bone	None
Giant cell tumour of bone	None
Papillary renal cell carcinoma type 2	None
Shoulder bone exostoes	None
Scapular exostoses	None
Scapulae exostoses	None
Vulvar adenocarcinoma	None
Renal pelvic carcinoma	None
Duodenal polyposis	None
Multiple duodenal polyps	None
amine precursor uptake and decarboxylation tumours	None
APUdoma	None
Choroid plexus carcinoma	None
Cerebral hamartoma	None
Cerebral hamartomata	None
Optic nerve sheath meningioma	None
Hepatoblastoma	None
Congenital mesoblastic nephroma	None
Intracranial meningioma	None
Neoplasm of the paranasal sinuses	None
Tumour of the paranasal sinuses	None
Tumor of the paranasal sinuses	None
Paranasal sinus neoplasm	None
Cutaneous leiomyosarcoma	None
Fibrous hamartoma of infancy	None
Fibrous hamartoma	None
Liver hamartoma	None
Transitional-cell carcinoma of the ureter	None
Squamous cell carcinoma of the tongue	None
Skin hamartoma	None
Cutaneous hamartoma	None
Sebaceous carcinoma	None
Sebaceous gland carcinoma	None
Tracheobronchial leiomyomatosis	None
Jejunal adenocarcinoma	None
Mucinous colorectal carcinoma	None
Multiple pancreatic beta-cell adenomas	None
Lymphangioma	None
Hamartomatous stomach polyps	None
Mucinous neoplasm	None
Ovarian thecoma	None
Scleral schwannoma	None
Gonadoblastoma	None
Osteogenic sarcoma	None
Bone cell cancer	None
Osteosarcoma	None
Anal margin melanoma	None
Neoplasia of the pleura	None
Leydig cell neoplasia	None
Squamous cell carcinoma of the pancreas	None
Pancreatic squamous cell carcinoma	None
Pancreatic islet cell adenoma	None
Pituitary somatotropinoma	None
Pituitary growth hormone cell adenoma	None
Non-secretory adrenocortical adenoma	None
Non-secretory adrenal adenoma	None
Multiple lipomas	None
Lipomatosis	None
Lipomas	None
Multiple fatty lumps	None
Anal canal adenocarcinoma	None
Testicular teratoma	None
Trichoepithelioma	None
Benign genitourinary tract tumor	None
Benign genitourinary tract tumour	None
Benign GU tract neoplasm	None
Benign genitourinary tract neoplasm	None
Strawberry birthmark	None
Capillary hemangiomata	None
Capillary hemangioma	None
Conjunctival hamartoma	None
Carcinoma	None
Mild hearing impairment	None
Slit-like opening of the exterior auditory meatus	None
Telangiectasia of the ear	None
Abnormal cochlea morphology	None
Abnormality of cochlea	None
Ear anomaly	None
Abnormality of the ear	None
Microtia, first degree	None
First-degree microtia	None
Asymmetry of the position of the ears	None
Uneven ears	None
Auricular pit	None
Abnormal antitragus morphology	None
Abnormality of the malleus	None
Round ear	None
Hypoplasia of the antihelix	None
Hypoplastic antihelix	None
Absent vestibule	None
Aplasia of the vestibule	None
Congenital conductive hearing loss	None
Congenital conductive hearing impairment	None
Congenital conductive deafness	None
Fluid behind eardrum	None
Otitis media with effusion	None
Abnormality of the incus	None
High frequency hearing loss	None
High-frequency deafness	None
High-frequency hearing impairment	None
Progressive high frequency hearing loss	None
Hearing loss, high-frequency	None
Progressive high-frequency hearing loss	None
Fusion of middle ear ossicles	None
Non-spinning vertigo	None
Snail ear	None
Ear, grade II dysplasia	None
Severe cupped ear, type III	None
Cockleshell ear	None
Constricted helix type IV	None
Microtia, second degree	None
Mini ear	None
Shell ear	None
Underfolded helix	None
Poorly folded helices	None
Abnormal number of tubercles	None
Absent antitragus	None
Satyr ear	None
Devil ear	None
Underfolded superior helices	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Recurrent infections of the middle ear	None
Asymmetry of the size of ears	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Cerumen abnormality	None
Overfolding of the superior helices	None
Overfolding of superior helix	None
Incomplete partition of the cochlea type I	None
Conductive hearing impairment	None
Conductive hearing loss	None
Conductive deafness	None
Conduction deafness	None
Hearing loss, conductive	None
Hearing loss, mixed	None
Mixed hearing impairment	None
Mixed hearing loss	None
External ear position defect	None
Abnormal location of ears	None
Everted antitragus	None
Bilateral conductive deafness	None
Bilateral conductive hearing loss	None
Bilateral conductive hearing impairment	None
Dilated cochlear aqueduct	None
Enlarged cochlear aqueduct	None
Abnormality of the auricle	None
Malformed pinnae	None
Outer ear abnormality	None
Abnormal pinnae	None
Abnormality of the external ear	None
Abnormality of the outer ear	None
External ear malformations	None
Ear anomalies	None
Underdeveloped helices	None
Hypoplastic helices	None
Unilateral conductive hearing impairment	None
Absent the eighth cranial nerve	None
Absent vestribular nerve	None
Aplasia of the vestibular nerve.	None
Absent cranial nerve viii	None
Aplasia of the eighth cranial nerve	None
Aplasia of cranial nerve VIII	None
Hypoplastic cochlea	None
Hypoplasia of the cochlea	None
Underdeveloped cochlea	None
Unilateral external ear deformity	None
Deformed external ear on one side	None
Osseous stenosis of the external auditory canal	None
Hidden ear	None
Cryptotia	None
Buried ear	None
Quelprud nodule	None
Type II cryptotia	None
Type 2 cryptotia	None
Narrow auditory canals	None
Stenosis of the external auditory canal	None
External auditory canal stenosis	None
Stenotic external auditory canal	None
Narrow external auditory meatus	None
Narrow external auditory canals	None
Narrowing of passageway from outer ear to middle ear	None
Narrow ear canal	None
Polyotia	None
Additional crus of antihelix	None
Hearing abnormality	None
Abnormal hearing	None
Hyperplastic helix crus	None
Hypertrophic helix crus	None
Helix, crus, prominent	None
Prominent crus of helix	None
Abnormal prominence of the crus of the ear	None
Cutaneous atresia of the external auditory canal	None
Prominent antitragus	None
Enlarged antitragus	None
Hyperplastic antitragus	None
Hypertrophic antitragus	None
Crimped helix	None
Indented helix	None
Helix, crimped	None
Prelingual sensorineural deafness	None
Prelingual sensorineural hearing impairment	None
Deafness, sensorineural, prelingual	None
Abnormality of the middle ear ossicles	None
Malformed ossicles	None
Ossicular malformation	None
Functional abnormality of the middle ear	None
Abnormality of the reflex of the tensor tympani muscle	None
Inner ear tumour	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Crus of helix connected to antihelix	None
Helix, crus, connected to antihelix	None
Thickened helices	None
Thick helix	None
Increased incisura width	None
Aminoglycoside-induced hearing loss	None
Underdeveloped superior helices	None
Hypoplastic superior helix	None
Large fleshy ears	None
Congenital earlobe sinuses	None
Vestibular dysfunction	None
Interictal vestibular dysfunction	None
Impaired vestibular function	None
Vestibular function defect	None
Aplasia of the Eustachian tube	None
Absent eustachian tube	None
Absent tragus	None
Abnormal middle ear reflexes	None
Presbycusis	None
Old-aged sensorineural hearing impairment	None
Absent inner ear	None
Aplasia of the inner ear	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the labyrinth	None
Prominent antihelix	None
Aplasia/Hypoplasia of the external ear	None
Absent/underdeveloped external ear	None
Absent/small external ear	None
Linear earlobe crease	None
Morphological abnormality of the semicircular canal	None
Absent internal auditory canal	None
Absent stapes	None
Glue ear	None
Vestibular ataxia	None
Vestibular areflexia	None
Ear, posterior angulation, increased	None
Posteriorly angulated ears	None
Posteriorly rotated auricles	None
Posteriorly rotated ears	None
Posteriorly rotated	None
Posteriorly-angulated ears	None
Posteriorly-rotated ears	None
Ears rotated toward back of head	None
Expanded terminal portion of crus of helix	None
Helix, crus, expanded terminal portion	None
Cup-shaped ears	None
Cupped ears	None
Capuchin ears	None
Cupped ear	None
Simple, cup-shaped ears	None
Protruding ears	None
Prominent ears	None
Protruding ear	None
Prominent ear	None
Atretic auditory canal	None
Atretic auditory canals	None
Atretic external auditory canals	None
Atresia of the external auditory canal	None
Absent auditory canals	None
Absent ear canal	None
Auditory canal atresia	None
External auditory canal atresia	None
Atretic external auditory canal	None
External auditory meatal atresia	None
Absent external auditory canals	None
External auditory meatus atresia	None
External acoustic meatus atresia	None
Atresia of the external auditory canals	None
Bilateral congenital sensorineural deafness	None
Congenital sensorineural hearing impairment	None
Congenital neurosensory deafness	None
Congenital sensorineural deafness	None
Congenital sensorineural hearing loss	None
Hearing loss, congenital sensorineural	None
Congenital perceptive deafness	None
Morphological abnormality of the horizontal semicircular canal	None
Morphological abnormality of the lateral semicircular canal	None
Abnormality of the tragus	None
Abnormal tragus morphology	None
Absent middle ear ossicles	None
Aplasia of the middle ear ossicles	None
Absent middle ear bones	None
Absent/underdeveloped tragus	None
Absent/small tragus	None
Aplasia/Hypoplasia of the tragus	None
Hearing loss, sensorineural, bilateral, progressive	None
Progressive bilateral sensorineural hearing loss	None
Sensorineural hearing loss, progressive	None
Progressive sensorineural hearing impairment	None
Bilateral progressive sensorineural hearing loss	None
Hearing loss, progressive sensorineural	None
Hearing loss, sensorineural, progressive	None
Persistent stapedial artery	None
Morphological abnormality of the saccule	None
Aplasia/Hypoplasia of the middle ear	None
Hypoplastic/aplastic middle ear structures	None
Absent/small middle ear	None
Absent/underdeveloped middle ear	None
Middle ear hypoplasia/aplasia	None
Attached earlobe	None
Adherent earlobe	None
External auditory canal exostoses	None
Exostosis of the external auditory canal	None
Cleft at the superior portion of the pinna	None
Cleft at the superior portion of the ear	None
Focal absence of the external ear	None
Morphological abnormality of the utricle	None
Tympanic calcification	None
Tympanosclerosis	None
Absent malleus	None
Unilateral vestibular schwannoma	None
False perception of self-motion	None
Question mark ear	None
Constricted ear	None
Question mark ears	None
Cosman ear	None
Abnormal ear morphology	None
Underdeveloped crus of the helix	None
Underdeveloped crus of the ear	None
Hypoplasia of the crus of the ear	None
Narrow internal auditory canal	None
Crumpled ear	None
Hearing loss	None
Hearing defect	None
Deafness	None
Hypoacusis	None
Hearing impairment	None
Hypacusis	None
Hypoplasia of the vestibular nerve	None
Hypoplasia of cranial nerve VIII	None
Hypoplasia of the eighth cranial nerve	None
Thin vestibular nerve	None
Chronic middle ear infection	None
Chronic otitis media	None
Chronic ear infection	None
Chronic infections of the middle ear	None
Otitis media, chronic	None
Absent stapes head	None
High set ears	None
Superiorly displaced ears	None
Impairment of the reflex of the tensor tympani muscle	None
Mild neurosensory hearing loss	None
Mild neurosensory hearing impairment	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Moderate hearing impairment	None
Morphological abnormality of the inner ear	None
Asymmetry of the ears	None
Asymmetric ears	None
Stapedial abnormalities	None
Abnormality of the stapes	None
Abnormal inner ear epithelium morphology	None
Asymmetry of the shape of the ears	None
Bilateral acoustic neuromas	None
Bilateral vestibular schwannoma	None
Basalioma of the outer ear	None
Absent vestibular function	None
Notched helix	None
Cleft helix	None
Notching of the ear helix	None
Cartilaginous ossification of pinnae	None
Calcification of the auricular cartilage	None
Petrified ear	None
Ossification of pinnae	None
Ear cartilage calcification	None
Decreased incisura length	None
Dizzy spell	None
Vertigo	None
Dizziness	None
Upturned earlobe	None
Lobe, uplifted	None
Upturned earlobes	None
Uplifted earlobes	None
Uplifted earlobe	None
Fleshy upturned lobules	None
Hypoplasia of the ear cartilage	None
Underdeveloped ear cartilage	None
Abnormality of the vestibular nerve	None
Abnormality of the round window	None
External ear malformation	None
Diagonal earlobe crease	None
Abnormality of stem of antihelix	None
Lobe, forward facing	None
Forward facing earlobe	None
Mid-frequency hearing loss	None
Abnormal vestibulo-ocular reflex	None
Abnormal vestibuloocular reflex	None
Long ears	None
Long ear	None
Synotia	None
Vestibular abnormality	None
Morphological abnormality of the vestibule of the inner ear	None
Morphological abnormality of the nerves of the inner ear	None
Darwin notch of helix	None
Helix, Darwin notch	None
Neoplasm of the ear	None
Ear tumor	None
Ear tumour	None
Mondini defect	None
Mondini dysplasia	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Cochlear malformation defect (Mondini dysplasia)	None
Abnormality of cartilage of external ear	None
Abnormally shaped ears	None
Malformed ears	None
Malformed auricles	None
Abnormal form of ears	None
Auricular malformation	None
Deformed ears	None
Minor malformation of the auricles	None
Abnormal pinna morphology	None
Malformed external ears	None
Malformation of auricle	None
Deformed auricles	None
Poorly defined conchae	None
Dysplastic ears	None
Abnormal earlobe morphology	None
Abnormal lobe of ear	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormality of earlobe	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
Abnormal incisura morphology	None
Neoplasm of the middle ear	None
Neoplasia of the middle ear	None
Middle ear tumour	None
Middle ear tumor	None
Hypertrophic auricular cartilage	None
Infantile sensorineural hearing loss	None
Infantile sensorineural hearing impairment	None
Tinnitus	None
Ringing in ears	None
Ringing in the ears	None
Postlingual sensorineural hearing impairment	None
Darwin tubercle of helix	None
Helix, Darwin tubercle	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Bilateral sensorineural hearing impairment	None
Hearing loss, sensorineural, bilateral	None
Bilateral sensorineural deafness	None
Bilateral sensorineural hearing loss	None
Bilateral nerve deafness	None
Notched tragus	None
Bifid tragus	None
Tragus, bifid	None
Mozart ear	None
Dilated semicircular canal	None
Enlarged semicircular canal	None
Auditory canal abnormality	None
Abnormality of the auditory canal	None
Functional abnormality of the inner ear	None
Cleft earlobe	None
Transient hearing impairment	None
Prominent ear helix	None
Large helix	None
Otitis media	None
Middle ear infection	None
Pulsatile tinnitus	None
Short ear	None
Short ears	None
Abnormality of the internal acoustic meatus	None
Abnormality of the internal auditory canal	None
Abnormality of posterior crus of antihelix	None
Abnormality of superior crus of antihelix	None
Bulbous internal auditory canal	None
Dilatated internal auditory canal	None
Enlarged internal auditory canal	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Hyperplastic antihelix stem	None
Dilated vestibule of the inner ear	None
Hyperplastic superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Prominent superior crus of antihelix	None
Clicking tinnitus	None
High-tone sensorineural deafness	None
High frequency sensorineural hearing impairment	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural hearing impairment	None
Accesory tragus	None
Duplicated tragus	None
Tragus, duplicated	None
Abnormal antihelix	None
Abnormal anthelix	None
Abnormal antehelix	None
Abnormal antihelix morphology	None
Third-degree microtia	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Aplasia of the semicircular canal	None
Absent semicircular canal	None
Earlobe crease	None
Transverse earlobe creases	None
Anterior creases of earlobe	None
Hypoplasia of the semicircular canal	None
Hypoplasia of the semicircular canals	None
Small semicircular canal	None
Hypoplastic inferior crus of antihelix	None
Hypotrophic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Small earlobe	None
Small earlobes	None
Hypoplastic lobules	None
Hypoplastic earlobes	None
Absent crus of helix	None
Helix, crus, absent	None
Vestibular Schwann cell tumor	None
Acoustic Neuroma	None
Vestibular neurilemmoma	None
Vestibular schwannoma	None
Vestibular neurolemmoma	None
Vestibular neurinoma	None
Vestibular Schwann cell tumour	None
Deafness, unilateral	None
Unilateral deafness	None
Deafness in one ear	None
Low-set posteriorly rotated ears	None
Low-set, posteriorly rotated ears	None
Vestibular hypofunction	None
Double antitragus	None
Bifid antitragus	None
Endolymphatic sac tumour	None
Aggressive papillary middle ear tumor	None
Aggressive papillary middle ear tumour	None
Heffner tumour	None
Endolymphatic sac tumor	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Heffner tumor	None
Auricular tag	None
Ceruminoma	None
Adenoma of the ceruminous gland	None
Neoplasm of the ceruminal gland	None
Ceruminous adenoma	None
Conductive hearing loss, severe	None
Severe conductive hearing impairment	None
Abnormality of the tympanic membrane	None
Abnormality of the eardrum	None
Osseous atresia of the external auditory canal	None
Small antitragus	None
Hypotrophic antitragus	None
Underdeveloped antitragus	None
Hypoplastic antitragus	None
Ectopia pupillae	None
Displaced pupil	None
Corectopia	None
Aplasia/Hypoplasia of the iris	None
Absent/underdeveloped iris	None
Absent/small iris	None
Subcapsular cataracts	None
Subcapsular lenticular cataracts	None
Subcapsular cataract	None
Subcapsular opacities	None
Non-accomodative esotropia	None
Panuveitis	None
Squint	None
Strabismus	None
Cross-eyed	None
Squint eyes	None
Foveal hypopigmentation	None
Cornea verticillata	None
Vortex keratopathy	None
Seborrhoeic blepharitis	None
Compensatory head posture	None
Peripheral retinal detachment	None
Best corrected visual acuity 0.3 LogMAR	None
Dysmetric vertical saccades	None
Esophoria	None
Multiple bilateral congenital hypertrophy of retinal pigment epithelium	None
Multiple bilateral CHRPE	None
Glaucomatous visual field defect	None
Foveal hyperpigmentation	None
Colour vision defect	None
Colour vision defect, severe	None
Color vision defects	None
Abnormal colour vision	None
Disturbed color vision	None
Colour vision defects	None
Color vision defect	None
Abnormality of color vision	None
Abnormal color vision	None
Loss in colour vision	None
Abnormality of colour vision	None
Color vision defect, severe	None
Loss in color vision	None
Optically empty vitreous	None
Sudden decrease in vision	None
Sudden loss of visual acuity	None
Sudden central visual loss	None
Central corneal dystrophy	None
Astigmatism	None
Abnormal curving of the cornea or lens of the eye	None
Abnormal visual fixation	None
Retinal arterial macroaneurysms	None
Macular thickening	None
Vitreous strands	None
Septo-optic dysplasia	None
De Morsier syndrome	None
Progressive night blindness	None
Abnormal OCT-measured macular thickness	None
Hypertensive retinopathy	None
Abnormal foveal morphology on macular OCT	None
Eyes fixed downward	None
Sun setting eyes	None
Sunsetting eye	None
Setting-sun eye phenomenon	None
Superior oblique muscle overaction	None
Visual acuity no light perception	None
Abnormal indocyanine green angiography	None
Patchy atrophy of the retinal pigment epithelium	None
With the rule astigmatism	None
Unaided visual acuity 3.0 LogMAR	None
Abnormality of eye movement	None
Oculomotor abnormalities	None
Ocular movement abnormalities	None
Abnormal motility of the globe of the eye	None
Abnormal movement of the globe of the eye	None
Abnormal eye movements	None
Abnormal extraocular movement	None
Abnormal ocular movements	None
Eye movement abnormalities	None
Eye movement issue	None
Abnormal eye motility	None
Abnormal extraocular movements	None
Abnormal eye movement	None
Horizontal opticokinetic nystagmus	None
Abnormal dark-adapted dim flash electroretinogram	None
Nonprogressive visual loss	None
Decreased visual acuity, nonprogressive	None
Pinhole visual acuity 1.2 LogMAR	None
Iris neovascularization	None
New blood vessel formation in iris	None
Neovascularization of the iris	None
Paediatric glaucoma	None
Childhood glaucoma	None
Pediatric glaucoma	None
Infantile glaucoma	None
Developmental glaucoma	None
Abnormal foveal pit on macular OCT	None
Unaided visual acuity 0.3 LogMAR	None
Central retinal exudate	None
Altitudinal visual field defect	None
Divergence insufficiency	None
Distance esotropia	None
Tortuosity of conjunctival vessels	None
Vitelliform-like retinal lesions	None
Choroidal nevus	None
Against the rule astigmatism	None
Anterior chamber flare grade 1+	None
Square-wave jerks	None
Congenital ptosis	None
Congenital drooping upper eyelid	None
Anterior blepharitis	None
Hyperopia	None
Hypermetropia	None
Long-sightedness	None
Farsightedness	None
Retinal flecks	None
Mixed astigmatism	None
Fundus hypopigmentation	None
Decreased fundus pigmentation	None
Hypopigmentation of the fundus	None
Retinal vascular tortuosity	None
Tortuous retinal vessels	None
Abnormally small eyeball on one side	None
Unilateral nanophthalmos	None
Unilateral microphthalmos	None
Abnormal inferior rectus muscle physiology	None
Staring gaze	None
Staring eyes	None
Hypoplastic iris stroma	None
Hypoplastic iris stoma	None
Iris stromal hypoplasia	None
Underdeveloped iris stroma	None
Foveal degeneration	None
Keratitis	None
Corneal inflammation	None
Hypoautofluorescent macular lesion	None
Hypo-autofluorescent macular lesion	None
Unaided visual acuity 1.0 LogMAR	None
Subretinal heme	None
Subretinal haemorrhage	None
Subretinal hemorrhage	None
Choroidal melanoma	None
ROP plus	None
Retinopathy of prematurity plus	None
Choroidal hyperpermeability	None
Choroidal vascular hyperpermeability	None
Poor visual behaviour for age	None
Abnormal visual behaviour for age	None
Poor visual behavior for age	None
Abnormal visual behavior for age	None
Abnormal distribution of retinal arterioles and venules	None
Double depressor palsy	None
Abnormal line of Schwalbe morphology	None
Abnormality of the line of Schwalbe	None
Abnormal posterior segment imaging	None
Hypodeviation	None
Vitreous inflammatory cells	None
Congenital aphakia	None
Lens agenesis	None
Ultra-low vision	None
Photopsia	None
Retinitis pigmentosa inversa	None
Central retinitis pigmentosa	None
Optic disc coloboma	None
Coloboma of optic nerve	None
Optic disk coloboma	None
Optic nerve coloboma	None
Thinning of Descemet membrane	None
Abnormal retinal nerve fiber layer morphology	None
Abnormal retinal nerve fibre layer morphology	None
Retinal crystals	None
Anterior chamber red blood cells	None
Anterior chamber RBCs	None
Congenital stationary night blindness with abnormal fundus	None
Double elevator palsy	None
Oculomotor synkinesis	None
Amaurosis fugax	None
Retinal neovascularization	None
Retinal neovascularisation	None
Persistent pupillary membrane	None
Ciliary zonule abnormality	None
Abnormality of zinn's membrane	None
Abnormality of the suspensory ligament of lens	None
Zonule of zinn abnormality	None
Abnormal suspensory ligament of lens morphology	None
Vitreous detachment	None
Posterior vitreous detachment	None
Vertical nystagmus	None
Abnormal paracentral response of multifocal electroretinogram	None
ROP zone 1	None
Retinopathy of prematurity zone I	None
Occult macular dystrophy	None
Hypoplastic optic discs	None
Hypoplastic optic disks	None
Optic disc hypoplasia	None
Deep anterior chamber	None
Vascular remnant arising from the disc	None
Persistent hyaloid artery	None
Persistence of the hyaloid artery	None
Abnormality of globe size	None
Eye size difference	None
Abnormality of eyeball size	None
Pinhole visual acuity 0.5 LogMAR	None
Instability of ocular fixation	None
Visual fixation instability	None
Abnormal vertical rectus muscle physiology	None
Hyperphoria	None
Retinal dots	None
Latent myopia	None
Globe retraction and deviation on abduction	None
Blindness	None
Legal blindness	None
Total vision loss	None
Oval pupil	None
Unaided visual acuity 1.1 LogMAR	None
Increased vertical cup-to-disc ratio - 1.0	None
Diplopia	None
Double vision	None
Increased vertical cup-to-disc ratio - 0.6	None
Lattice corneal dystrophy	None
Biber haab dimmer dystrophy	None
Opsoclonus	None
Abnormality of the sclera	None
Abnormality of the outer white part of eyeball	None
Abnormal sclera morphology	None
Retinopathy of prematurity	None
Unaided visual acuity 0.5 LogMAR	None
Pulverulent cataract	None
Horizontal pendular nystagmus	None
Downbeat nystagmus	None
Abnormal migration of corneal endothelium	None
Absent anterior chamber of the eye	None
Supranuclear gaze palsy	None
Supranuclear gaze paralysis	None
Alternating hyperphoria	None
ROP stage 4a	None
Retinopathy of prematurity stage 4a	None
Retinoblastoma	None
Retina tumor	None
Retina tumour	None
Corneal stromal opacity	None
Cloudy corneas	None
Cloudy cornea	None
Opacification of the corneal stroma	None
Vitreous snowballs	None
Abnormal corneal endothelium morphology	None
Abnormality of corneal endothelium	None
Morning glory optic disc	None
Morning glory anomaly	None
Morning glory disc anomaly	None
Falciform retinal fold	None
Congenital retinal fold	None
Optic nerve arteriovenous malformation	None
Anterior chamber cells grade 0.5+	None
Abnormality of globe location	None
Abnormality of eyeball location	None
Abnormality of eyeball position	None
Abnormality of globe position	None
Iridodonesis	None
Exophoria	None
Moderate reduction in contrast sensitivity	None
Moderately reduced contrast sensitivity	None
Severe visual loss	None
Severely impaired vision	None
Severe visual impairment	None
Severe reduction in visual acuity	None
Severely reduced visual acuity	None
Severe vision loss	None
Marked vision impairment	None
Disconjugate eye movements	None
Abnormal conjugate eye movement	None
Incomitant strabismus	None
Non-accomodative convergence excess esotropia	None
Near esotropia	None
Abnormal vitreous humor morphology	None
Abnormal vitreous humour morphology	None
Abnormal involuntary eye movements	None
