Pneumomediastinum	HP:0025421
Triangular shaped outermost bone of the pinky toe	None
Triangular shaped outermost bone of the pinkie toe	None
Triangular shaped outermost bone of the little toe	None
Triangular shaped distal phalanx of the 5th toe	None
Weakness of long finger extensor muscles	None
Aplasia/hypoplasia involving bones of the upper limbs	None
Absent/underdeveloped bones of the upper limbs	None
Absent/small bones of the upper limbs	None
Generalized weakness of limb muscles	None
Generalised weakness of limb muscles	None
Hardening of wide portion of long bone of upper arm	None
Stiffening of wide portion of long bone of upper arm	None
Sclerotic humeral metaphysis	None
Curved hand bones	None
Curved phalanges of the hand	None
Limb-girdle myopathy	None
Wasting of limb-girdle muscle	None
Limb-girdle muscle atrophy	None
Absent/small middle ring finger bone	None
Aplasia/Hypoplasia of the middle phalanx of the 4th finger	None
Absent/underdeveloped middle ring finger bone	None
Excessive bone growth of the skull and face	None
Increased ossification of craniofacial bones	None
Overgrowth of craniofacial bones	None
Craniofacial hyperostosis	None
Enlargement of craniofacial bones	None
Thick craniofacial bones	None
Hypertrophy of craniofacial bones	None
Excessive growth of craniofacial bones	None
Hyperostosis of craniofacial bones	None
Hypoplastic distal humeri	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Hypoplastic 5th lumbar vertebrae	None
Underdeveloped 5th lumbar vertebrae	None
Fused innermost and middle little toe bones	None
Fused innermost and middle pinky toe bones	None
Symphalangism of the middle and proximal phalanges of the 5th toe	None
Fused innermost and middle pinkie toe bones	None
Proximal/middle symphalangism of 5th toe	None
Absent outermost bone of the 4th toe	None
Aplasia of the distal phalanx of the 4th toe	None
Absent distal phalanx of the 4th toe	None
Smaller or shorter than typical limbs	None
Micromelia	None
Notched innermost bone of thumb	None
Partial/complete duplication of the proximal phalanx of the thumb	None
Duplication of the proximal phalanx of the thumb	None
Deep antegonial notch of mandible	None
Large antegonial notch of mandible	None
Antegonial notching of mandible	None
Thickened ribs	None
Irregular epiphyses of the 5th finger	None
Irregular end part of the little finger bones	None
Irregular end part of the pinky finger bones	None
Irregular end part of the pinkie finger bones	None
High iliac wing	None
High iliac wings	None
Narrow, high iliac wings	None
Diaphragmatic hernia	None
Congenital diaphragmatic hernia	None
Short distal phalanx of the 2nd finger	None
Short terminal index finger phalanx	None
Hypoplastic terminal index finger phalanx	None
Short outermost bone of the index finger	None
Short distal phalanx of the second finger	None
Hypoplastic/small distal phalanx of the 2nd finger	None
Paralysis of both sides of the face	None
Bilateral facial palsy	None
Weakness of both sides of the face	None
Bilateral facial muscle paralysis	None
Bilateral facial paralysis	None
Bilateral facial muscle weakness	None
Osteosclerosis of ribs	None
Increased bone density in ribs	None
Irregular epiphyses of the 2nd finger	None
Irregular end part of the index finger	None
Curved fingers	None
Cranial defect	None
Calvarial skull defect	None
Calvarial defect	None
Skull defect	None
Wide bones of 3rd toe	None
Broad phalanges of the 3rd toe	None
Patchy sclerosis of the proximal phalanx of the thumb	None
Uneven increase in bone density in the innermost thumb bone	None
Elbow ankylosis	None
11 pairs of ribs	None
Triangular shaped outermost bone of the middle finger	None
Triangular shaped distal phalanx of the 3rd finger	None
Abnormality of the musculature of the thorax	None
Small epiphysis of the distal phalanx of the thumb	None
Small end part of thumb outermost bone	None
Triphalangeal thumb	None
Triphalangeal thumbs	None
Digitalized thumb	None
Triphalangy of thumb	None
Accessory phalanx of the thumb	None
Finger-like thumb	None
Abnormal metacarpal epiphysis morphology	None
Abnormality of metacarpal epiphyses	None
Abnormality of end part of long bone of hand	None
Hernia of the abdominal wall	None
Herniated abdominal wall	None
Foetal little finger curvature	None
Fetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal little finger curvature	None
Foetal pinkie finger curvature	None
Fetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
Decreased facial expressions	None
Dull facial expression	None
Hypomimic face	None
Decreased facial muscle movement	None
Hypomimia	None
Irregular lacy iliac crest	None
Iliac crest serration	None
Lacy appearance of iliac crest	None
Synovitis	None
Popliteal pterygium	None
Absent end part of the outermost bone of the little toe	None
Absent end part of the outermost bone of the pinkie toe	None
Absent epiphysis of the distal phalanx of the 5th toe	None
Absent end part of the outermost bone of the pinky toe	None
Bifid terminal phalanx of toe	None
Bifid distal phalanx of toe	None
Notched outermost bones of toes	None
Bifid distal phalanges of toes	None
Ankle stiffness	None
Stiff ankle	None
Increased fat tissue	None
Increased adipose tissue	None
Cervical osteoarthritis	None
Neck arthritis	None
Cervical spine degeneration	None
Cervical spondylosis	None
Finger hyperphalangy	None
Abnormality of ethmoidal air cells	None
Abnormality of ethmoid sinus	None
Midline brain calcifications	None
Muscle biopsy: aconitase deficiency	None
Reduced muscle aconitase activity	None
Triangular shaped outermost pinkie finger bone	None
Triangular shaped outermost pinky finger bone	None
Triangular shaped distal phalanx of the 5th finger	None
Triangular shaped outermost little finger bone	None
Muscle weakness in lower limbs	None
Lower extremity weakness	None
Leg weakness	None
Lower limb muscle weakness	None
Lower limb weakness	None
Partial/complete duplication of the middle phalanx of the 4th finger	None
Duplication of the middle phalanx of the 4th finger	None
Partial/complete duplication of the middle bone of the ring finger	None
Uneven increase in bone density in the outermost little toe bone	None
Uneven increase in bone density in the outermost pinky toe bone	None
Patchy sclerosis of the distal phalanx of the 5th toe	None
Uneven increase in bone density in the outermost pinkie toe bone	None
Absent 3rd long bone of hand	None
Aplasia of the 3rd metacarpal	None
Pseudoepiphysis of the proximal phalanx of the 4th finger	None
Flattened femoral head	None
Flat head of thigh bone	None
Flattened femoral heads	None
Epiphyseal sclerosis	None
Ivory epiphyses	None
Increased bone density in end part of bone	None
Small thumb epiphysis	None
Small epiphyses of the thumb	None
Small end part of thumb long bone	None
Broad distal phalanx of the toes	None
Broad outermost bone of the toe	None
Wide outermost bone of the toe	None
Pseudoepiphyses of the 3rd toe	None
Uneven increase in bone density in innermost index finger bone	None
Patchy sclerosis of the proximal phalanx of the 2nd finger	None
Prominent back of the head	None
Protruding back of the head	None
Prominent posterior cranium	None
Prominent occiput	None
Prominent back of the skull	None
Protruding occiput	None
Prominent posterior skull	None
Prominent posterior head	None
Pseudoepiphyses of the proximal phalanges of the hand	None
Anterior cupping of ribs	None
Anterior rib cupping	None
Anteriorly splayed ribs	None
Abnormal fetal skeletal morphology	None
Fragmentation of the epiphyses of the 2nd finger	None
Fragmentation of end part of the index finger	None
Fused innermost bone of pinky finger with 5th long bone of hand	None
Fused innermost bone of little finger with 5th long bone of hand	None
Symphalangism of the proximal phalanx of the 5th finger with the 5th metacarpal	None
Fused innermost bone of pinkie finger with 5th long bone of hand	None
Muscle fiber actin filament accumulation	None
Muscle fibre actin filament accumulation	None
Sloping humeral metaphysis	None
Sloping metaphysis of long bone of upper arm	None
Temporomandibular arthritis	None
Arthritis of temporomandibular joint	None
Abnormality of Z-joint	None
Abnormality of zygapophysial joint	None
Abnormality of apophyseal joint	None
Abnormality of zygapophyseal joint	None
Abnormality of spinal facet joint	None
Bouchard's node	None
Fatigable weakness of respiratory muscles	None
Hypoplastic ischiopubic rami	None
Tibial torsion	None
Acro-osteolysis of distal phalanges	None
Osteolytic defects of the distal phalanges of the hand	None
Osteolytic defects of the outermost finger bone of the hand	None
Acroosteolysis of distal phalanges	None
Fatty tumours on the eyelids	None
Fatty tumors on the eyelids	None
Lipomas of eyelids	None
Increased jitter at single fiber EMG	None
Increased jitter at single fibre electromyography	None
Increased jitter at single fibre EMG	None
Diastasis recti	None
Gap between large left and right abdominal muscles	None
Type 2 muscle fiber predominance	None
Type II muscle fiber predominance	None
Type II muscle fibre predominance	None
Type 2 muscle fibre predominance	None
Contracture of the tarsometatarsal joint of the hallux	None
Stubby fingers	None
Short finger	None
Hypoplastic digits	None
Hypoplastic/small fingers	None
Stubby finger	None
Hypoplastic fingers	None
Abnormal maturation of foot bones	None
Abnormality of the mineralisation and ossification of bones of the feet	None
Abnormal foot bone ossification	None
Abnormal ossification involving bones of the feet	None
Polyarticular arthropathy	None
Aplasia/hypoplasia of middle phalanges	None
Absent/underdeveloped middle finger bone of the hand	None
Short to absent middle phalanges	None
Absent/hypoplastic middle phalanges	None
Short/absent middle phalanges	None
Absent/small middle finger bone of the hand	None
Aplasia/Hypoplasia of the middle phalanges of the hand	None
Hypoplastic/aplastic middle phalanx	None
Aplastic/hypoplastic middle phalanges	None
Small femoral heads	None
Hypoplastic femoral head	None
Hypoplasia of the femoral head	None
Small head of thigh bone	None
Pancreatic adenocarcinoma	None
Retropharyngeal hemangioma	None
Benign genitourinary tract tumor	None
Benign genitourinary tract tumour	None
Benign GU tract neoplasm	None
Benign genitourinary tract neoplasm	None
Pituitary gonadotropic cell adenoma	None
Pituitary gonadotropinoma	None
Cerebellar glioma	None
Gingival fibromatosis	None
Gingival fibrous nodules	None
Idiopathic gingival hyperplasia	None
Gingival fibroma	None
Hereditary gingival fibromatosis	None
Spinal cord tumor	None
Spinal tumour	None
Spinal tumor	None
Spinal tumours	None
Spinal cord tumour	None
Tumour of the spinal cord	None
Tumor of the spinal cord	None
Spinal tumors	None
Formation of new noncancerous bone on top of existing bone	None
Exostoses	None
Appendiceal mucinous neoplasm	None
Epithelial neoplasm	None
T-cell lymphoma/leukemia	None
Gonadoblastoma	None
Numerous moles	None
Numerous nevi	None
Multiple pigmented nevi	None
Pelvic bone exostoses	None
Pelvic exostoses	None
Lymphoma	None
Cancer of lymphatic system	None
Carcinoid tumors	None
Carcinoid tumour	None
Carcinoid	None
Carcinoid tumor	None
Carcinoid tumours	None
Neuroepithelial cyst	None
Glioependymal cyst	None
Neuroglial cyst	None
Poroma	None
Peripheral neuroepithelioma	None
Parathyroid adenomas	None
Parathyroid adenoma	None
Kaposi's sarcoma	None
Inflammatory cap polyp	None
Neoplasm of the anterior pituitary	None
Neoplasm of the adenohypophysis	None
Neoplasm of the pars anterior	None
Rib exostoses	None
Primitive neuroectodermal tumor	None
Primitive neuroectodermal tumour	None
Clear cell adenocarcinoma of the vagina	None
Vaginal clear cell adenocarcinoma	None
Juvenile type testicular granulosa cell tumor	None
Renal cell carcinoma	None
Hypernephroma	None
Cancer starting in small tubes in kidneys	None
Renal carcinoma	None
Hemangioma, facial, plaque-like	None
Plaque-like facial hemangioma	None
Pancreatoblastoma	None
Lipoma of the tongue	None
Tongue lipoma	None
Neoplasm of the larynx	None
Histiocytoma	None
Pituitary prolactinoma	None
Prolactin-secreting pituitary adenoma	None
Pituitary prolactin cell adenoma	None
Pulmonary lymphoma	None
Breast carcinoma	None
Breast cancer	None
Alveolar cell carcinoma	None
Neoplasm of the lip	None
Tumour of the lip	None
Tumor of the lip	None
Neoplasia of the lip	None
Lip tumor	None
Lip tumour	None
Anal canal squamous carcinoma	None
Pituitary somatotropinoma	None
Pituitary growth hormone cell adenoma	None
T cell chronic lymphocytic lymphoma/leukemia	None
Blood vessel tumor	None
Vascular neoplasm	None
Blood vessel tumour	None
Parathyroid Cancer	None
Parathyroid carcinoma	None
Presacral ganglioneuroma	None
Stomach cancer	None
Gastric cancer	None
Esophageal neoplasm	None
Esophageal tumour	None
Esophageal tumor	None
Ovarian epithelial cancer	None
Ovarian carcinoma	None
Occasional neurofibromas	None
Carcinoma	None
Ganglioglioma	None
Biphenotypic acute leukemia	None
Biphenotypic acute leukaemia	None
Myeloid/lymphoid leukaemia	None
Acute biphenotypic leukaemia	None
Myeloid/lymphoid leukemia	None
Ovarian fibroma	None
Glioma	None
Multiple lineage myelodysplasia	None
Lymphoid leukemia	None
Lymphoid leukaemia	None
Lentigo maligna melanoma	None
Malignant genitourinary tract tumor	None
Malignant genitourinary tract tumour	None
Malignant GU tract tumor	None
Malignant GU tract tumour	None
Squamous papilloma of the uvula	None
Oropharyngeal squamous papilloma	None
Liposarcoma	None
Fatty tumours on the eyelids	None
Fatty tumors on the eyelids	None
Lipomas of eyelids	None
Myeloid leukemia	None
Myeloid leukaemia	None
Exostoses of the ulna	None
Medullary thyroid carcinoma	None
Medullary thyroid cancer	None
Papillary renal cell carcinoma	None
Nasopharyngeal teratoma	None
Exostoses of the radial metaphysis	None
Refractory anaemia with ringed sideroblasts	None
Myelodysplasia with sideroblastosis	None
Refractory anemia with ringed sideroblasts	None
Gastrointestinal stromal tumours	None
Gastrointestinal stroma tumour	None
Gastrointestinal stromal tumour	None
Gastrointestinal stromal tumors	None
GI stroma tumor	None
Gastrointestinal stroma tumor	None
Gastrointestinal stromal tumor	None
GI stroma tumour	None
GIST	None
Lymphatic vessel tumor	None
Lymphatic vessel tumour	None
Lymphatic vessel neoplasm	None
Subungual fibroma	None
Subungual fibromas	None
Odontomas	None
Odontoma	None
Juvenile nasopharyngeal angiofibroma	None
Neurocytoma	None
Neoplasia of the thyroid gland	None
Neoplasm of the thyroid gland	None
Liver tumour	None
Liver cancer	None
Neoplasm of the liver	None
Liver tumor	None
Superficial spreading melanoma	None
Intrathoracic hemangioma	None
Chest hemangioma	None
Pilomatrixoma	None
Parungual fibromas	None
Koenen tumour	None
Koenen's tumor	None
Koenen's tumour	None
Koenen tumor	None
Periungual fibroma	None
Ungual fibroma	None
Primary small cell carcinoma of the skin	None
Merkel cell cancer of the skin	None
Primary undifferentiated carcinoma of the skin	None
Neuroendocrine tumour of the skin	None
Neuroendocrine carcinoma of the skin	None
Anaplastic carcinoma of the skin	None
Merkel cell skin cancer	None
Neuroendocrine tumor of the skin	None
Cutaneous APUDoma	None
Lung adenocarcinoma	None
Adenocarcinoma of the intestines	None
Neoplasm of the tongue	None
Colon tumor	None
Neoplasm of the colon	None
Colon tumour	None
Lumbar/sacral hemangioma	None
Lumbosacral hemangioma	None
Orbital schwannoma	None
Pineal parenchymal tumor	None
Supratentorial neoplasm	None
Pineal parenchymal tumour	None
Single lineage myelodysplasia	None
Myxoid liposarcoma	None
Ileal adenocarcinoma	None
Chondroblastoma	None
Myxoid subcutaneous tumors	None
Myxoid subcutaneous tumours	None
Retrorectal teratoma	None
Altman type IV sacrococcygeal teratoma	None
Presacral teratoma	None
Olfactory esthesioneuroblastoma	None
Exostoses of the radius	None
Basal cell hamartoma with follicular differentiation	None
Follicular infundibulum tumour	None
Follicular infundibulum tumor	None
Desmoid tumours	None
Desmoid tumors	None
Altman type II sacrococcygeal teratoma	None
Thyroid adenoma	None
Thyroid atypical adenoma	None
Juvenile myelomonocytic leukaemia	None
Juvenile myelomonocytic leukemia	None
Lung fibroma	None
T-cell lymphoma	None
T cell lymphoma	None
Neoplasm of the thymus	None
Central primitive neuroectodermal tumour	None
Central primitive neuroectodermal tumor	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Nonmedullary thyroid carcinoma	None
Chronic lymphocytic leukaemia	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukaemia	None
Chronic lymphatic leukemia	None
Angiofibromas	None
Cutaneous mastocytosis	None
Trophoblastic tumor	None
Trophoblastic tumour	None
Intralobar nephroblastomatosis	None
Anal canal squamous cell carcinoma	None
Tracheobronchial leiomyomatosis	None
Peritoneal mesothelioma	None
Neuroblastic tumor	None
Neuroblastic tumour	None
Ossifying fibroma	None
Uveal melanoma	None
Intraocular melanoma	None
Lymphangioma	None
Macroprolactinoma	None
Genital tumor	None
Genital neoplasia	None
Genital tumour	None
Genital neoplasm	None
Squamous cell lung carcinoma	None
Hamartoma	None
Bronchial papilloma	None
Soft tissue neoplasm	None
Vagal paraganglioma	None
Vagal nerve tumors	None
Glomus vagale tumour	None
Glomus vagale tumor	None
Glomus vagale paraganglioma	None
Vagal nerve tumours	None
Acrosyringeal adenomatosis	None
Eccrine syringofibroadenomatous hyperplasia	None
Eccrine syringofibroadenoma	None
Syringofibroadenoma	None
Colon cancer	None
Zollinger-Ellison syndrome	None
Facial midline hemangioma	None
Carotid paraganglioma	None
Benign GI tract tumours	None
Benign gastrointestinal tract tumors	None
Benign gastrointestinal tract tumours	None
Benign GI tract tumors	None
Non-cancerous GI tumours	None
Non-cancerous GI tumors	None
Clear cell renal cell carcinoma	None
Nonpapillary renal cell carcinoma	None
Pulmonary myomatosis	None
Pulmonary lymphangiomyomatosis	None
Lymphangioleiomyomatosis	None
Osteoblastoma	None
Anal margin squamous cell carcinoma	None
Exostoses of hand bones	None
Cavernous hemangioma	None
Cavernous angioma	None
Cavernous haemangioma	None
Collection of dilated blood vessels that forms mass	None
Cavernous hemangioma of the face	None
Facial neoplasm	None
Face tumour	None
Face tumor	None
Sacrococcygeal teratoma	None
Chondrosarcoma	None
Endolymphatic sac tumour	None
Aggressive papillary middle ear tumor	None
Aggressive papillary middle ear tumour	None
Heffner tumour	None
Endolymphatic sac tumor	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Heffner tumor	None
Neoplasm of the mouth	None
Neoplasm of the oral cavity	None
Lesion of oral cavity	None
Mouth neoplasm	None
Tumour of oral cavity	None
Mouth tumor	None
Tumor of oral cavity	None
Malignant eosinophil proliferation	None
Primary peritoneal carcinoma	None
Endometrial carcinoma	None
Squamous cell carcinoma	None
Squamous cell cancer	None
Vulvar intraepithelial neoplasia	None
Retroperitoneal chemodectomas	None
Cholesteatoma	None
Cutaneous leiomyosarcoma	None
Oligodendroglioma	None
Polyp of the ureter	None
Ureter polyp	None
Ureteral polyp	None
increased risk of pancreatic cancer	None
Pancreatic tumour	None
Pancreatic tumor	None
Neoplasia of the pancreas	None
Pancreatic cancer	None
Cancer of the pancreas	None
Neoplasm of the pancreas	None
Palmar neurofibromas	None
Combined hamartoma of the retinal pigment epithelium and retina	None
Squamous Papilloma	None
Perifollicular fibroma	None
Gastrointestinal tract tumour	None
Gastrointestinal tract tumor	None
Neoplasm of the gastrointestinal tract	None
GI tract tumor	None
Gastrointestinal tract neoplasia	None
Neoplasm of the GI tract	None
Gastrointestinal tract neoplasm	None
GI tract tumour	None
Multiple mucosal neuromas	None
Digital fibrous tumour of Reye	None
Infantile digital fibromatosis	None
Inclusion body fibromatosis	None
Digital fibrous tumor of Reye	None
Infantile digital fibroma	None
Esophageal hemangioma	None
Blood tumor	None
Blood tumour	None
Haematological neoplasm	None
Hematological neoplasm	None
Multiple gastric polyps	None
Neoplasm by histology	None
T-cell acute lymphoblastic leukemias	None
Pinealoma	None
Ceruminoma	None
Adenoma of the ceruminous gland	None
Neoplasm of the ceruminal gland	None
Ceruminous adenoma	None
Peripheral primitive neuroectodermal neoplasm	None
Germ cell neoplasia	None
Renal cortical adenoma	None
Kidney cortical adenoma	None
Steatocystoma multiplex	None
Mucinous gastric carcinoma	None
Head and neck tumour	None
Head and neck cancer	None
Head and neck tumor	None
Neoplasm of head and neck	None
Acanthoma	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Noncancerous tumour in pituitary gland	None
Pituitary gland adenoma	None
Lingual hamartoma	None
Hamartoma of tongue	None
External auditory canal exostoses	None
Exostosis of the external auditory canal	None
Embryonal rhabdomyosarcoma	None
Throat hemangioma	None
Laryngeal hemangioma	None
Vulvar adenocarcinoma	None
Frontal cutaneous lipoma	None
Ependymoblastoma	None
Glabellar hemangioma	None
Glabellar capillary hemangioma	None
Hemangioma of the lip	None
Pituitary spindle cell oncocytoma	None
Medulloepithelioma	None
Facial capillary hemangioma	None
Pituitary microadenoma	None
Salivary gland oncocytoma	None
Parotid oncocytoma	None
Tubulonodular pericallosal lipoma	None
Pre-B-cell acute lymphoblastic leukaemia	None
Pre-B-cell acute lymphoblastic leukemia	None
B Acute Lymphoblastic Leukemia	None
B Acute Lymphoblastic Leukaemia	None
Bilineage myelodysplasia	None
Laryngeal papilloma	None
Laryngeal papillomas	None
Laryngeal papillomatosis	None
Benign neoplasm of the CNS	None
Benign neoplasm of the central nervous system	None
Craniopharyngioma	None
Lymphangioma of the orbit	None
Intestinal carcinoid	None
Small intestinal polyposis	None
Astrocytoma	None
Congenital stapes ankylosis	None
Lobeless ears	None
Lobule aplasia	None
Absent ear lobes	None
Absent earlobe	None
Earlobe, absent	None
Abnormally shaped ears	None
Malformed ears	None
Malformed auricles	None
Abnormal form of ears	None
Auricular malformation	None
Deformed ears	None
Minor malformation of the auricles	None
Abnormal pinna morphology	None
Malformed external ears	None
Malformation of auricle	None
Deformed auricles	None
Poorly defined conchae	None
Dysplastic ears	None
Pulsatile tinnitus	None
Abnormality of the tragus	None
Abnormal tragus morphology	None
Asymmetry of the position of the ears	None
Uneven ears	None
Protruding ears	None
Prominent ears	None
Protruding ear	None
Prominent ear	None
Focal absence of the external ear	None
Morphological abnormality of the posterior semicircular canal	None
Congenital earlobe sinuses	None
Broad inferior crus of antihelix	None
Antihelix, inferior crus, broad	None
Everted antitragus	None
Abnormal doll's eye reflex	None
Abnormally folded helix	None
Absent/underdeveloped cochlea	None
Aplasia/Hypoplasia of the cochlea	None
Absent/small cochlea	None
High set ears	None
Superiorly displaced ears	None
Underfolded helix	None
Poorly folded helices	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Chronic middle ear infection	None
Chronic otitis media	None
Chronic ear infection	None
Chronic infections of the middle ear	None
Otitis media, chronic	None
Underdeveloped helices	None
Hypoplastic helices	None
Crumpled ear	None
Underfolded superior helices	None
Aplasia/Hypoplasia of the middle ear	None
Hypoplastic/aplastic middle ear structures	None
Absent/small middle ear	None
Absent/underdeveloped middle ear	None
Middle ear hypoplasia/aplasia	None
Slit-like opening of the exterior auditory meatus	None
Mozart ear	None
Melotia	None
Low set ears	None
Low-set pinnae	None
Lowset ears	None
Low-set ears	None
Hypoplastic inferior crus of antihelix	None
Hypotrophic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Profound sensorineural hearing impairment	None
Abnormality of the internal acoustic meatus	None
Abnormality of the internal auditory canal	None
Underdeveloped crus of the helix	None
Underdeveloped crus of the ear	None
Hypoplasia of the crus of the ear	None
Fleshy earlobes	None
Prominent ear lobes	None
Large earlobe	None
Prominent ear lobules	None
Fleshy earlobe	None
Abnormality of inferior crus of antihelix	None
Abnormality of anterior crus of antihelix	None
Low-set posteriorly rotated ears	None
Low-set, posteriorly rotated ears	None
Diagonal earlobe crease	None
Long hairs growing from helix of pinna	None
Long hairs growing from helix of ear	None
Ear hair	None
Atresia of the Eustachian tube	None
Hypoplastic ears	None
Microtia	None
Bilateral microtia	None
Hypoplastic pinna	None
Underdeveloped ears	None
Small ears	None
Hypoplasia of the external ear	None
Small pinnae	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Mild hearing impairment	None
Third-degree microtia	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Type 1 cryptotia	None
Type I cryptotia	None
Cystic lesions of the pinnae	None
Thin ear helix	None
Inner ear tumour	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Conductive hearing impairment	None
Conductive hearing loss	None
Conductive deafness	None
Conduction deafness	None
Hearing loss, conductive	None
Sensorineural hearing impairment	None
Hearing loss, sensorineural	None
Sensorineural deafness	None
Sensorineural hearing loss	None
Hearing loss, sensorineural, bilateral, progressive	None
Progressive bilateral sensorineural hearing loss	None
Sensorineural hearing loss, progressive	None
Progressive sensorineural hearing impairment	None
Bilateral progressive sensorineural hearing loss	None
Hearing loss, progressive sensorineural	None
Hearing loss, sensorineural, progressive	None
Morphological abnormality of the semicircular canal	None
Helix, posterior pit	None
Ear, posterior helical groove	None
Pits in posterior aspect of ear helices	None
Posterior helix pit	None
Indentation in back of outer ear	None
Ear, posterior helical notch	None
Conductive hearing loss, severe	None
Severe conductive hearing impairment	None
Abnormal incisura morphology	None
Bulbous internal auditory canal	None
Dilatated internal auditory canal	None
Enlarged internal auditory canal	None
Impairment of the reflex of the tensor tympani muscle	None
Mondini defect	None
Mondini dysplasia	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Cochlear malformation defect (Mondini dysplasia)	None
Hypoplasia of the antihelix	None
Hypoplastic antihelix	None
Cleft at the superior portion of the pinna	None
Cleft at the superior portion of the ear	None
Congenital absence of external ear	None
Absent ear	None
Anotia	None
Absent ears	None
Hypoplasia of the ear cartilage	None
Underdeveloped ear cartilage	None
Thickened ears	None
Hypertrophic inferior crus of antihelix	None
Prominent inferior crus of antihelix	None
Hyperplastic inferior crus of antihelix	None
Antihelix, inferior crus, prominent	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Aplasia of the Eustachian tube	None
Absent eustachian tube	None
Low-frequency hearing loss	None
Narrow auditory canals	None
Stenosis of the external auditory canal	None
External auditory canal stenosis	None
Stenotic external auditory canal	None
Narrow external auditory meatus	None
Narrow external auditory canals	None
Narrowing of passageway from outer ear to middle ear	None
Narrow ear canal	None
Round ear	None
Notched tragus	None
Bifid tragus	None
Tragus, bifid	None
Morphological abnormality of the horizontal semicircular canal	None
Morphological abnormality of the lateral semicircular canal	None
Synotia	None
Darwin tubercle of helix	None
Helix, Darwin tubercle	None
Recurrent episodes of otitis media	None
Multiple episodes of otitis media	None
Susceptibility to otitis media	None
Recurrent otitis media	None
Otitis media, recurrent	None
Recurrent middle ear infection	None
Frequent otitis media	None
Transient hearing impairment	None
Abnormal ear morphology	None
Third crus	None
Stahl ear	None
Additional crus	None
Absent vestibular function	None
Glue ear	None
Obstruction of Eustachian tube	None
Blocked Eustachian tube	None
Progressive hearing loss	None
Progressive hearing impairment	None
Aplasia/Hypoplasia of the earlobes	None
Absent/small ear lobes	None
Absent/underdeveloped ear lobes	None
Recurrent infections of the middle ear	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Stenosis of the Eustachian tube	None
Morphological abnormality of the utricle	None
Small antitragus	None
Hypotrophic antitragus	None
Underdeveloped antitragus	None
Hypoplastic antitragus	None
Short ear	None
Short ears	None
Abnormality of the reflex of the tensor tympani muscle	None
Hidden ear	None
Cryptotia	None
Buried ear	None
Fluid behind eardrum	None
Otitis media with effusion	None
Osseous stenosis of the external auditory canal	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Hyperplastic antihelix stem	None
Aplasia/Hypoplasia of the inner ear	None
Absent/small inner ear	None
Absent/underdeveloped inner ear	None
Abnormality of stapedial reflex	None
Abnormal auditory reflex	None
Abnormality of the acoustic reflex	None
Abnormal middle-ear-muscles (MEM) reflex	None
Incomplete partition of the cochlea type I	None
Endolymphatic sac tumour	None
Aggressive papillary middle ear tumor	None
Aggressive papillary middle ear tumour	None
Heffner tumour	None
Endolymphatic sac tumor	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Heffner tumor	None
Abnormality of the malleus	None
Microtia, first degree	None
First-degree microtia	None
Cleft earlobe	None
Abnormality of posterior crus of antihelix	None
Abnormality of superior crus of antihelix	None
Low-frequency sensorineural hearing loss	None
Low-frequency sensorineural hearing impairment	None
Asymmetry of the ears	None
Asymmetric ears	None
Concha, Extra Fold	None
Extra concha fold	None
Abnormality of the middle ear ossicles	None
Malformed ossicles	None
Ossicular malformation	None
Abnormal cerumen color	None
Abnormal cerumen pigmentation	None
Abnormal cerumen colour	None
Inner ear abnormality	None
Abnormality of the inner ear	None
Dizzy spell	None
Vertigo	None
Dizziness	None
Conchal shelf	None
Antihelical shelf	None
Abnormality of stem of antihelix	None
Abnormality of the cochlear nerve	None
Morphological abnormality of the anterior semicircular canal	None
Absent inner ear	None
Aplasia of the inner ear	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the labyrinth	None
Large pinnae	None
Macrotia	None
Large ears	None
Non-spinning vertigo	None
Dilated vestibule of the inner ear	None
Moderate conductive hearing impairment	None
Conductive hearing loss, moderate	None
Excessive cerumen	None
Abnormal earlobe morphology	None
Abnormal lobe of ear	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormality of earlobe	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
