Abnormality of taste sensation	HP:0000223
Short middle phalanx of the fifth toe	None
Short middle bone of pinky toe	None
Short middle bone of pinkie toe	None
Short middle phalanx of the 5th toe	None
Bullet-shaped phalanges of the 3rd finger	None
Bullet-shaped bones of middle finger	None
Abnormal innermost index finger bone	None
Abnormality of the proximal phalanx of the 2nd finger	None
Abnormality of the proximal 2nd finger phalanx	None
Abnormality of terminal index finger phalanx	None
Abnormality of the distal phalanx of the 2nd finger	None
Abnormality of the outermost bone of the 2nd finger	None
Aplasia of the thumb	None
Absent thumb	None
Absent thumbs	None
Thumb aplasia	None
Arthritis of the big toe	None
Hallux rigidus	None
Flattened moderately deformed vertebrae	None
Webbed skin of toes	None
Cutaneous syndactyly of toes	None
soft tissue syndactyly of toes	None
Cutaneous syndactyly of feet	None
Tracheal ectopic calcification	None
Tracheal calcifications	None
Tracheal calcification	None
Calcification of the trachea	None
Lacunar halos around chondrocytes	None
Aplasia/Hypoplasia of the middle phalanx of the 3rd toe	None
Absent/small middle 3rd toe bone	None
Absent/underdeveloped middle 3rd toe bone	None
Abnormality of the fascia	None
Abnormality of end part of the innermost bone of pinkie finger	None
Abnormality of end part of the innermost bone of pinky finger	None
Abnormality of end part of the innermost bone of little finger	None
Abnormality of the epiphysis of the proximal phalanx of the 5th finger	None
Wide long bones	None
Broad long bones	None
Widened long bones	None
Diastasis recti	None
Gap between large left and right abdominal muscles	None
Aplasia of the 3rd finger	None
Absent middle finger	None
Abnormality of the hamate bone	None
Sclerotic foci of humeral diaphysis	None
Aplasia involving bones of the lower limbs	None
Absent bones of the lower limbs	None
Anterior vertebral fusion	None
Restricted hip extension	None
Limited hip extension	None
Flat distal femoral epiphysis	None
Flattened distal femoral epiphyses	None
Flat end part of outermost thighbone	None
Small epiphyses of the 4th toe	None
Small end part of the 4th toe bone	None
Splayed epiphyses	None
Splayed end part of bone	None
Osteolytic defects of the middle phalanx of the 2nd toe	None
bone elbow joint	None
Fractured elbow joint	None
Wide-cupped costochondral junctions	None
Shoulder bone exostoes	None
Scapular exostoses	None
Scapulae exostoses	None
Multiple intervertebral disc calcifications	None
Intervertebral disc calcification	None
Intervertebral disk calcification	None
Multiple intervertebral disk calcifications	None
Cone-shaped epiphysis of the proximal phalanx of the 2nd finger	None
Cone-shaped epiphysis of proximal index finger phalanx	None
Cone-shaped end part of innermost long bone of index finger	None
Lumbar gibbus deformity	None
Lumbar kyphosis	None
Rounded lower back	None
Fragmentation of the end part of the outermost bone of the 2nd toe	None
Fragmentation of the epiphysis of the distal phalanx of the 2nd toe	None
Abnormality of inferior rectus extraocular muscle	None
Extra middle finger	None
Polydactyly affecting the 3rd finger	None
Partial duplication of the innermost bone of big toe	None
Partial duplication of the proximal phalanx of the hallux	None
Prominent styloid process of ulna	None
Bullet-shaped 1st metacarpal	None
Bullet-shaped 1st long bone of hand	None
Wide 3rd toe	None
Broad 3rd toe	None
Short pelvis bones	None
Short iliac bones	None
Looser zones	None
Pseudo-fractures	None
Osteosclerosis of the clavicles	None
Clavicular sclerosis	None
Increased bone density in collarbone	None
Osteosclerosis of the clavicle	None
Bracket shaped end part of 1st long bone of foot	None
Bracket epiphysis of the 1st metatarsal	None
Cone-shaped end part of the 2nd toe bone	None
Cone-shaped epiphyses of the 2nd toe	None
Fragmentation of end part thumb outermost long bone	None
Fragmentation of the epiphysis of the distal phalanx of the thumb	None
Ankle weakness	None
Curved phalanges of the 4th toe	None
Curved bones of 4th toe	None
Curved 4th toe phalanx	None
Osteosarcoma	None
Osteogenic sarcoma	None
Bone cell cancer	None
Greyish enamel	None
Grayish enamel	None
Grey tooth shade	None
Grey coloured tooth enamel	None
Gray tooth shade	None
Gray colored tooth enamel	None
Increased length of the tibia	None
Increased length of shinbone	None
Increased length of shankbone	None
Congenital extraocular muscle anomaly	None
Osteolytic defects of the middle phalanges of the toes	None
Duplication of phalanx of hand	None
Duplication of finger bones	None
Symphalangism affecting the middle phalanx of the 3rd toe	None
Fused middle bones of 3rd toe	None
Joint contractures, progressive	None
Progressive flexion contractures	None
Delayed opacification of the epiphyses	None
Delayed maturation of end part of long bone	None
Epiphyseal ossification delay	None
Delayed epiphyseal ossification	None
Delayed epiphyseal maturation	None
Broad wide portion of thigh bone	None
Broad femoral metaphyses	None
Aplasia of the middle phalanx of the 5th finger	None
Absent middle phalanx of 5th finger	None
Absent middle bone of little finger	None
Absent middle bone of pinkie finger	None
Absent middle bone of pinky finger	None
Inflammation of cartilage of pinna	None
Chondritis of pinna	None
Patchy sclerosis of the distal phalanx of the 2nd finger	None
Uneven increase in bone density in the outermost bone of the 2nd finger	None
Fragmentation of the end part of the innermost bone of the 2nd toe	None
Fragmentation of the epiphysis of the proximal phalanx of the 2nd toe	None
Abnormal calcification of the carpal bones	None
Abnormal calcification of the wrist bones	None
Carpal calcifications	None
Absent vertebral body mineralization	None
Hypoplastic pelvic bones	None
Small pelvis	None
Hypoplastic pelvis	None
Scheuermann-like vertebral changes	None
Easily subluxated first metacarpophalangeal joints	None
Type A1 brachydactyly	None
Decreased femoral torsion	None
Externally rotated hips	None
Femoral retroversion	None
Stippling of the epiphysis of the distal phalanx of the 4th toe	None
Speckled calcifications in the end part of the outermost bone of the 4th toe	None
Bullet-shaped middle phalanges of the hand	None
Wide outermost bone of the little toe	None
Wide outermost bone of the pinky toe	None
Broad distal phalanx of the 5th toe	None
Broad outermost bone of the 5th toe	None
Wide outermost bone of the pinkie toe	None
Premature epimetaphyseal fusion in radius	None
Irregular end part of the innermost bone of the big toe	None
Irregular epiphysis of the proximal phalanx of the hallux	None
Duplication of the outermost bone of the 3rd toe	None
Partial/complete duplication of the distal phalanx of the 3rd toe	None
Duplication of the distal phalanx of the 3rd toe	None
Duplication of the distal phalanx of the third toe	None
Supernumerary bones of the axial skeleton	None
Contractures of the carpometacarpal joint of the thumb	None
Bulging epiphyses	None
Bulging end part of bone	None
Aplasia of the musculature of the pelvis	None
Camptodactyly of index finger	None
Camptodactyly of second finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of 2nd finger	None
Calcification of muscles	None
Skeletal muscle calcinosis	None
Abnormality of the middle phalanx of the 5th finger	None
Abnormality of the middle bone of pinky finger	None
Abnormality of the middle bone of pinkie finger	None
Abnormality of the middle bone of little finger	None
Stippling of the epiphysis of the distal phalanx of the 4th finger	None
Speckled calcifications in the end part of the outermost bone of the ring finger	None
Tall lumbar vertebral bodies	None
Abnormal shape of tendon	None
Abnormality of the sinew	None
Abnormal tendon morphology	None
Transphyseal distal humerus fracture	None
Transphyseal fracture of the distal humerus	None
Muscle weakness, lower limb, distal	None
Distal muscle weakness in lower limbs	None
Distal lower limb muscle weakness	None
Acromicria	None
Irregular end part of the middle long bone of the index finger	None
Irregular epiphysis of the middle phalanx of the 2nd finger	None
Rudimentary postaxial polydactyly of hands	None
Punctate vertebral calcifications	None
Glycogen accumulation in muscle fiber lysosomes	None
Glycogen accumulation in muscle fibre lysosomes	None
Anal margin neoplasm	None
Diarrhoea	None
Watery stool	None
Diarrhea	None
Volvulus	None
Dependency on parenteral nutrition	None
Poor appetite	None
Decreased appetite	None
No appetite	None
Loss of appetite	None
Desmoid tumors	None
Desmoid tumours	None
Pancreatic adenocarcinoma	None
Congenital pyloric atresia	None
Chronic atrophic gastritis	None
Atrophic gastritis	None
Anomalous splenoportal venous system	None
Abnormal biliary tract physiology	None
Ulcerative colitis	None
Colitis ulcerosa	None
Slowed or blocked flow of bile from liver	None
Cholestasis	None
Hypoplastic umbilicus	None
Umbilicus hypoplastic	None
Anus malposition	None
Ectopic anus	None
Abnormal anus position	None
Jejunal arteriovenous malformation	None
Gastro-jejunal tube feeding in infancy	None
Gastrojejunal tube feeding in infancy	None
Nausea	None
Lipid accumulation in hepatocytes	None
Microgastria	None
Partial abdominal muscle agenesis	None
Esophageal leukoplakia	None
Esophageal epidermoid metaplasia	None
Clostridium difficile colitis	None
Absent gallbladder	None
Aplasia of the gallbladder	None
Agenesis of the gallbladder	None
Biliary atresia, extrahepatic	None
Extrahepatic biliary duct atresia	None
Hepatic pulmonary fusion	None
Hepatopulmonary fusion	None
Gastric diverticulum	None
Stomach diverticulum	None
Abnormality of hepatobiliary system physiology	None
Abnormal gastrointestinal transit time	None
Abnormal GI transit time	None
Intestinal lymphangiectasia	None
Decreased intestinal transit time	None
Duodenal arteriovenous malformation	None
Granulomatous enteritis and colitis	None
Crohn's disease	None
Morbus Crohn	None
Anal canal neoplasm	None
Anal canal tumour	None
Anal canal tumor	None
Intrahepatic biliary dysgenesis	None
Aplasia/Hypoplasia of the gallbladder	None
Absent/underdeveloped gallbladder	None
Absent/small gallbladder	None
Starry sky appearance on hepatic sonography	None
Visceromegaly	None
Bloating	None
Abdominal bloating	None
Abdominal distension	None
Abdominal distention	None
Distended abdomen	None
Belly bloating	None
Abdominal swelling	None
Acute esophageal necrosis	None
Abdominal adhesions	None
Intra-abdominal adhesion	None
Abnormal liver morphology	None
Gastric adenocarcinoma	None
Inflammatory cap polyp	None
Stomach tumour	None
Neoplasm of the stomach	None
Neoplasia of the stomach	None
Stomach tumor	None
Fatal liver failure in infancy	None
Biliary dyskinesia	None
Protracted diarrhoea	None
Protracted diarrhea	None
Gastric arteriovenous malformation	None
Coarsened hepatic echotexture	None
Pentacarboxylporphyrin high in stool	None
Increased fecal pentacarboxylporphyrin	None
Macronodular cirrhosis	None
Abdomen abnormality	None
Abnormality of the abdomen	None
Abnormal abdomen morphology	None
Abnormality of abdomen morphology	None
Abnormality of abdomen structure	None
Pelvic mass	None
Midline liver	None
Delayed self-feeding during toddler years	None
Haemorrhoids	None
Piles	None
Hemorrhoids	None
Intestinal fistula	None
Congenital liver fibrosis	None
Congenital hepatic fibrosis	None
Excessive buildup of connective tissue and scarring of liver at birth	None
Chronic active hepatitis	None
Hepatitis, chronic active	None
Multiple duodenal polyps	None
Duodenal polyposis	None
Abnormal gallbladder morphology	None
Abnormal shape of gallbladder	None
Abnormal gallbladder structure	None
Chronic colitis	None
Diffuse hepatic steatosis	None
Hepatic steatosis, diffuse	None
Increased fecal bile acid	None
Helicobacter pylori infection	None
Functional intestinal obstruction	None
Jejunal diverticula	None
Bowel diverticula	None
Bowel diverticulosis	None
Abnormal faeces composition	None
Abnormal stool composition	None
Abnormal feces composition	None
Abnormal fecal test result	None
Abnormality of small intestinal villus morphology	None
Abnormal shape of small intestinal villus	None
Abnormal fecal pH	None
Abnormal faecal pH	None
Liver steatosis	None
Steatosis	None
Hepatic steatosis	None
Fatty liver	None
Fatty infiltration of liver	None
Jejunal atresia	None
Inflammation of the large intestine	None
Inflammatory bowel disease	None
Hepatic granulomatosis	None
Abnormal GI motility	None
Abnormal gastrointestinal motility	None
Esophageal food impaction	None
Lactose intolerance	None
Milk intolerance	None
Gastric duplication cyst	None
Gastric duplication	None
Periportal fibrosis	None
Poor suck	None
Sucking weakness	None
Poor sucking	None
Abnormal liver parenchyma morphology	None
Intestinal polyp	None
Intestinal polyps	None
Rectoureteral fistula	None
Brown pigment gallstones	None
Abnormality of the jejunum	None
Abnormal jejunum morphology	None
Splenic infarct	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Rectal tumour	None
Rectal tumor	None
Neoplasm of the rectum	None
Esophageal squamous papilloma	None
Fatty pancreas	None
Pancreatic lipomatosis	None
Pancreatic lipomatous pseudohypertrophy	None
Pancreatic fatty infiltration	None
Non-alcoholic fatty pancreatic disease	None
Pancreatic fatty replacement	None
Pancreatic steatosis	None
Gallbladder septated	None
Double gallbladder	None
Bilobate gallbladder	None
Bilobed gallbladder	None
Gallbladder duplication	None
Nausea and vomiting	None
Eosinophilic colitis	None
Eosinophilic infiltration in the colon	None
Colonic eosinophilia	None
Abnormal hepatic echogenicity	None
Micronodular cirrhosis	None
Enlarged liver and spleen	None
Hepatosplenomegaly	None
Abnormal large intestinal mucosa morphology	None
Esophageal duplication	None
Rectal perforation	None
Increased intestinal transit time	None
Beta-cell dysfunction	None
GI inflammation	None
Gastrointestinal inflammation	None
Chronic calcifying pancreatitis	None
Malabsorption	None
Intestinal malabsorption	None
Atresia of the rectum	None
Rectal atresia	None
Pleomorphic cholangitis	None
Osmotic diarrhea	None
Hepatic infarction	None
Stomach inflammation	None
Gastritis	None
Ventral hernia	None
Hereditary nonpolyposis colorectal carcinoma	None
Gallbladder dyskinesia	None
Pelvic organ prolapse	None
Vesicocolic fistula	None
Colovesicular fistula	None
Colovesical fistula	None
Decreased carnitine level in liver	None
Liver failure	None
Hepatic failure	None
Reduced faecal osmolality	None
Reduced fecal osmolality	None
Duodenal gastric metaplasia	None
Polycystic liver disease	None
Anorectal stricture	None
Stricture of the anorectum	None
Bladder hernia	None
Prolapsed bladder	None
Bladder prolapse	None
Cystocele	None
Dropped bladder	None
Jejunitis	None
Esophageal spasms	None
Duodenal stenosis	None
Duodenal stenosis/atresia	None
Abnormal peristalsis	None
Accessory spleen	None
Increased stool urobilinogen concentration	None
Constipation	None
Costiveness	None
Dyschezia	None
Lozenge-shaped umbilicus	None
Fat malabsorption	None
Adenocarcinoma of the large intestine	None
Increased fecal calprotectin level	None
Microvillus inclusions	None
Malignant GI tract tumors	None
Malignant gastrointestinal tract tumours	None
Malignant gastrointestinal tract tumors	None
Malignant GI tract tumours	None
Abnormality of mesentery morphology	None
Abnormality of the mesentery	None
High fecal coproporphyrin 1	None
Increased fecal coproporphyrin 1	None
Elevated faecal coproporphyrin 1	None
High faecal coproporphyrin 1	None
High stool coproporphyrin 1	None
Elevated stool coproporphyrin 1	None
Increased faecal coproporphyrin 1	None
Elevated fecal coproporphyrin 1	None
Necrotizing enterocolitis	None
Intestinal pseudoobstruction	None
Intestinal pseudo-obstruction	None
Abdominal wall defect	None
Congenital anterior abdominal wall defect	None
Acute hepatic failure	None
Acute liver failure	None
Anal intraepithelial neoplasia	None
Anal erosion	None
Anal fissure	None
Splenic rupture	None
Ruptured spleen	None
Gastrointestinal atresia	None
GI atresia	None
Ineffective esophageal peristalsis	None
Ineffective esophageal motility	None
Liver abscess	None
Hepatic abscess	None
Rectourethral fistula	None
Urethrorectal fistula	None
Decreased stool elastase level	None
Elastase low in stool	None
Abnormality of pancreas physiology	None
Esophagus ulcer	None
Esophageal ulceration	None
Oesophagus ulcer	None
Oesophagus ulceration	None
Intermittent jaundice	None
Intermittent icterus	None
Intermittent yellowing of skin	None
Intermittent yellow skin	None
Anorexia	None
Inability to properly digest food due to lack of pancreatic digestive enzymes	None
Exocrine pancreatic insufficiency	None
Pancreatic insufficiency	None
Esophageal web	None
Fecal vomiting	None
Feculent vomiting	None
Vomiting fecal matter	None
Stercoraceous vomiting	None
Vomiting faecal matter	None
Faecal vomiting	None
Storage in hepatocytes	None
Duodenal atrophy	None
Unusual gastrointestinal infection	None
Unusual GI infection	None
Enterocutaneous fistula	None
Gastroschisis	None
Hypoplastic intestines	None
Underdeveloped instestine	None
Intestinal hypoplasia	None
Small intestinal perforation	None
Posteriorly placed anus	None
Enteroviral hepatitis	None
Nasal regurgitation	None
Hepatic lobular inflammation	None
Bloody diarrhea	None
Bloody diarrhoea	None
Bloody bowel movement	None
Bloody stool	None
Blood in stool	None
Increased stomach size	None
Gastric hypertrophy	None
Primary biliary cirrhosis	None
Biliary cirrhosis	None
Abnormal bowel sounds	None
Mixed cirrhosis	None
Elevated fecal sodium	None
Elevated faecal sodium	None
Rectum protrudes through anus	None
Rectal prolapsed	None
Rectal prolapse	None
Portal fibrosis shown on biopsy	None
Portal fibrosis	None
Distal ileal atresia	None
Disinhibited	HP:0000734
disinhibition <1>	HP:0000734
disinhibition	HP:0000734
Social disinhibition	HP:0000734
decrease cmap amplitude	HP:0033383
decrease compound muscle action potential amplitude	HP:0033383
decreased cmap amplitude	HP:0033383
decreased compound muscle action potential amplitude	HP:0033383
vaulted pontine tegmentum	HP:0030975
vault pontine tegmentum	HP:0030975
pontine tegmental cap	HP:0030975
early onset absence seizure	HP:0011152
early onset absence seizures	HP:0011152
early onset petit mal seizure	HP:0011152
early onset petit mal seizures	HP:0011152
Primitive reflexes (palmomental, snout, glabellar)	HP:0002476
archaic reflex	HP:0002476
primitive reflex	HP:0002476
primitive reflexes	HP:0002476
Hemorrhage;intracranial	HP:0002170
bleed within the skull	HP:0002170
bleeding within the skull	HP:0002170
Bleeding intracranial	HP:0002170
Unspecified intracranial hemorrhage	HP:0002170
Intracranial haemorrhage NOS	HP:0002170
Intracranial Hemorrhages [Disease/Finding]	HP:0002170
Intracranial bleeding	HP:0002170
BLEEDING, INTRACRANIAL	HP:0002170
Bleeding, Intracranial	HP:0002170
intracranial hemorrhage	HP:0002170
Intracranial hemorrhage, unspecified	HP:0002170
Hemorrhages, Intracranial	HP:0002170
Haemorrhage intracranial	HP:0002170
Intracranial Hemorrhages	HP:0002170
Intracranial haemorrhage, unspecified	HP:0002170
INTRACRANIAL BLEEDING	HP:0002170
Intracranial hemorrhage NOS	HP:0002170
INTRACRANIAL HEMORR NOS	HP:0002170
Hemorrhage intracranial	HP:0002170
Haemorrhage, intracranial	HP:0002170
Intracranial Bleeding	HP:0002170
intracranial haemorrhage	HP:0002170
Intracranial Hemorrhage	HP:0002170
HEMORRHAGE, INTRACRANIAL	HP:0002170
Hemorrhage, intracranial	HP:0002170
Unspecified intracranial haemorrhage	HP:0002170
INTRACRANIAL HEMORRHAGE	HP:0002170
Intracranial hemorrhage NOS (disorder)	HP:0002170
Hemorrhage, Intracranial	HP:0002170
crouch gait	HP:0025682
hot cross bun sign	HP:0041056
absence of interest in peer	HP:4000083
absence of interest in peers	HP:4000083
repetitive compulsive behaviour	HP:0008762
repetitive compulsive behavior	HP:0008762
increased csf tyrosine concentration	HP:0500220
high tyrosine levels in cerebrospinal fluid	HP:0500220
increase csf tyrosine concentration	HP:0500220
high tyrosine level in cerebrospinal fluid	HP:0500220
2 - 3 - layered lissencephaly	HP:0032457
2 - 3 - layer lissencephaly	HP:0032457
claustrophobia	HP:0025253
short - segment aganglionic megacolon	HP:0011284
obsolete reduced cerebrospinal fluid 5 - methyltetrahydrofolate concentration	HP:0012446
cerebral folate deficiency	HP:0012446
decrease csf 5 - methyltetrahydrofolate concentration	HP:0012446
reduced csf 5 - methyltetrahydrofolate concentration	HP:0012446
decreased csf 5 - methyltetrahydrofolate concentration	HP:0012446
Neurodegeneration Due To Cerebral Folate Transport Deficiency	HP:0012446
obsolete reduce cerebrospinal fluid 5 - methyltetrahydrofolate concentration	HP:0012446
low csf 5 - methyltetrahydrofolate	HP:0012446
reduce csf 5 - methyltetrahydrofolate concentration	HP:0012446
parietal cortical atrophy	HP:0012104
cerebral inclusion body	HP:0100314
cerebral inclusion bodies	HP:0100314
gustatory lacrimation	HP:0100274
involuntary dystonic or choreiform movement	HP:0007166
Chorea	HP:0007166
Paroxysmal Dyskinesia	HP:0007166
paroxysmal dyskinesia	HP:0007166
Paroxysmal Dyskinesias	HP:0007166
Dyskinesias, Paroxysmal	HP:0007166
Dyskinesia, Paroxysmal	HP:0007166
involuntary dystonic or choreiform movements	HP:0007166
profound psychomotor retardation (physical finding)	HP:0012736
profound global developmental delay	HP:0012736
demonstrated behavior psychomotor retardation profound	HP:0012736
PSYCHOMOTOR RETARDATION, PROFOUND	HP:0012736
demonstrated behavior psychomotor retardation profound (physical finding)	HP:0012736
profound psychomotor retardation	HP:0012736
global developmental delay , profound	HP:0012736
psychomotor retardation , profound	HP:0012736
oral aversion	HP:0012523
atypical facial expressions	HP:4000089
atypical facial expression	HP:4000089
focal emotional seizure with anger	HP:0032736
fixated interest with abnormal focus	HP:4000077
fixate interest with abnormal focus	HP:4000077
mirror hand movement	HP:0001335
hand mirror movement	HP:0001335
bimanual synkinesia	HP:0001335
mirror movement	HP:0001335
hand mirror movements	HP:0001335
mirror movements	HP:0001335
Mirror movements <1>	HP:0001335
mirror hand movements	HP:0001335
eeg with continuous slow activity	HP:0011204
Convulsions local	HP:0007359
obsolete focal seizures , afebril	HP:0007359
SEIZURES, FOCAL	HP:0007359
focal seizure	HP:0007359
Focal fits	HP:0007359
Partial seizures, NOS	HP:0007359
Focal Seizures	HP:0007359
Partial seizure (finding)	HP:0007359
Seizures, Partial	HP:0007359
Seizures, focal	HP:0007359
Partial Seizure	HP:0007359
FOCAL SEIZURES	HP:0007359
Local convulsion (disorder)	HP:0007359
Seizures, partial, afebrile	HP:0007359
focal onset seizure	HP:0007359
Focal Seizure	HP:0007359
Seizures	HP:0007359
obsolete focal seizure , afebril	HP:0007359
Local convulsion	HP:0007359
Seizures, Focal	HP:0007359
focal - onset seizures	HP:0007359
seizure affect one half of brain	HP:0007359
partial seizure	HP:0007359
Focal seizuresl	HP:0007359
Partial seizures NOS	HP:0007359
partial seizures	HP:0007359
focal seizures	HP:0007359
Seizure, Focal	HP:0007359
seizure affecting one half of brain	HP:0007359
focal - onset seizure	HP:0007359
abnormal synaptic transmission	HP:0012535
abnormality of neurotransmitter metabolism	HP:0012535
segmental peripheral demyelination	HP:0007107
increase csf glutamate concentration	HP:0500200
high glutamic acid levels in cerebrospinal fluid	HP:0500200
high glutamic acid level in cerebrospinal fluid	HP:0500200
increased csf glutamate concentration	HP:0500200
clonus	HP:0002169
involuntary rhythmic muscular contraction and relaxation	HP:0002169
involuntary rhythmic muscular contractions and relaxations	HP:0002169
beta - eeg	HP:0011179
beta wave electroencephalography	HP:0011179
periventricular cysts	HP:0007109
periventricular cyst	HP:0007109
spinal myoclonus	HP:0010531
abnormal homocarnosine level in cerebrospinal fluid	HP:0500241
abnormal csf homocarnosine concentration	HP:0500241
abnormal homocarnosine levels in cerebrospinal fluid	HP:0500241
curvilinear pericallosal lipoma	HP:0034013
Disorder of Peripheral Nervous System	HP:0001271
Peripheral Nerve Disorder	HP:0001271
Peripheral nervous system disorders (disorder)	HP:0001271
PN - Peripheral neuropathy	HP:0001271
Peripheral neuropathy NOS	HP:0001271
Polyneuropathy ICD10CM:A69.22	HP:0001271
[X]Polyneuropathy, unspecified	HP:0001271
Nerve Disease, Peripheral	HP:0001271
Polyneuropathies [Disease/Finding]	HP:0001271
Peripheral Nervous System Diseases [Disease/Finding]	HP:0001271
peripheral nerve disease	HP:0001271
Peripheral Nervous System Disorders	HP:0001271
Polyneuropathy (disorder)	HP:0001271
Nerve Diseases, Peripheral	HP:0001271
PNS Diseases	HP:0001271
Peripheral nervous system disorders	HP:0001271
DISORDERS OF THE PERIPHERAL NERVOUS SYSTEM	HP:0001271
Peripheral Neuropathy	HP:0001271
Peripheral Nerve Disorders	HP:0001271
Polyneuropathy unspecified (disorder)	HP:0001271
Polyneuropathies	HP:0001271
PNS (Peripheral Nervous System) Diseases	HP:0001271
peripheral neuropathy	HP:0001271
Peripheral Nervous System Disease	HP:0001271
Neuropathy, Peripheral	HP:0001271
Peripheral Nervous System Disorder	HP:0001271
Peripheral Neuropathies	HP:0001271
Neuropathy peripheral	HP:0001271
Peripheral nerve disorder	HP:0001271
Peripheral Nervous System Diseases	HP:0001271
Neuropathy, Peripheral <1>	HP:0001271
Neuropathy, peripheral <2>	HP:0001271
Peripheral Nerve Diseases	HP:0001271
Peripheral nervous system disorder NOS	HP:0001271
Polyneuropathy unspecified	HP:0001271
Peripheral neuropathies <2>	HP:0001271
polyneuropathy	HP:0001271
peripheral neuropathy <2>	HP:0001271
Peripheral neuropathy	HP:0001271
Peripheral Neuropathy <1>	HP:0001271
Polyneuropathy NOS	HP:0001271
Peripheral nerve disorder NOS	HP:0001271
Neuropathy, peripheral	HP:0001271
Peripheral Nerve Disease	HP:0001271
[X]Polyneuropathy, unspecified (disorder)	HP:0001271
PNS Disease	HP:0001271
Peripheral Neuropathies <1>	HP:0001271
Peripheral nervous system disorder NOS (disorder)	HP:0001271
nasal , dysarthic speech	HP:0008376
breathy speech	HP:0008376
progressive encephalopathy	HP:0002448
progressive brain disease	HP:0002448
abnormal prolactin level	HP:0040086
status epilepticus with ictal paresis	HP:0032862
focal inhibitory status epilepticus	HP:0032862
diffuse axonal swelling	HP:0003405
tetraplegia / tetraparesis	HP:0030182
increase theta frequency activity in eeg	HP:0031535
increased theta frequency activity in eeg	HP:0031535
eeg with generalised slow activity grade 2	HP:0011207
eeg with generalized slow activity grade 2	HP:0011207
froment sign	HP:0032121
froment thumb sign	HP:0032121
generalize hypotonia due to defect at the neuromuscular junction	HP:0003397
generalise hypotonia due to defect at the neuromuscular junction	HP:0003397
generalised hypotonia due to defect at the neuromuscular junction	HP:0003397
generalized hypotonia due to defect at the neuromuscular junction	HP:0003397
abnormal cranial nerve physiology	HP:0031910
coccidioidal meningitis	HP:0032161
abnormal phenylalanine levels in cerebrospinal fluid	HP:0500215
abnormal phenylalanine level in cerebrospinal fluid	HP:0500215
abnormal csf phenylalanine concentration	HP:0500215
decrease in amygdala volume	HP:0025444
reduced amygdala volume	HP:0025444
reduce amygdala volume	HP:0025444
focal undress automatism seizure	HP:0032907
focal undressing automatism seizure	HP:0032907
pituitary gland cyst	HP:0410278
cyst of the pituitary gland	HP:0410278
eeg with photoparoxysmal response grade iv	HP:0011214
hypoganglionosis	HP:0025150
focal aware emotional seizure with pleasure	HP:0032742
Reaction, Echo	HP:0010529
Echo Speech	HP:0010529
Speech, Echo	HP:0010529
echoing another person 's speech	HP:0010529
repeated speech	HP:0010529
echo another person 's speech	HP:0010529
Echolalia [Disease/Finding]	HP:0010529
Reactions, Echo	HP:0010529
echolalia	HP:0010529
echophrasia	HP:0010529
repeat speech	HP:0010529
Echo Reaction	HP:0010529
echologia	HP:0010529
fatigable weakness of skeletal muscles	HP:0030197
fatigable weakness of skeletal muscle	HP:0030197
elevate brain n - acetyl aspartate level by mr	HP:0025053
elevated brain n - acetyl aspartate level by magnetic resonance spectroscopy	HP:0025053
elevated brain n - acetyl aspartate level by mrs	HP:0025053
elevate brain n - acetyl aspartate level by magnetic resonance spectroscopy	HP:0025053
focal emotional seizure with paranoia	HP:0032737
focal autonomic seizure with urge to urinate / defecate	HP:0032765
easy fatigability	HP:0003388
tired easily	HP:0003388
Easy fatiguability	HP:0003388
tire easily	HP:0003388
increase csf uracil concentration	HP:0034460
increased csf uracil concentration	HP:0034460
dysplastic megalencephaly	HP:0034329
bilateral hemimegalencephaly	HP:0034329
abnormal shape of hindbrain	HP:0011282
abnormality of hindbrain morphology	HP:0011282
abnormal hindbrain morphology	HP:0011282
abnormality of the hindbrain	HP:0011282
abnormal csf glucose level	HP:0031884
abnormal csf glucose concentration	HP:0031884
spastic hemiplegia	HP:0011099
Spastic Hemiplegia	HP:0011099
spastic hemiparesis	HP:0011099
Spastic hemiplegia (disorder)	HP:0011099
Spastic hemiplegia, affecting unspecified side	HP:0011099
Hemiplegias, Spastic	HP:0011099
Hemiplegia, Spastic	HP:0011099
Hemiplegia	HP:0011099
SPSTC HMIPLGA UNSPF SIDE	HP:0011099
Spastic Hemiplegias	HP:0011099
focal impaired awareness motor seizure with version	HP:0032713
focal motor impair awareness seizure with version	HP:0032713
focal motor impaired awareness seizure with version	HP:0032713
focal impair awareness motor seizure with version	HP:0032713
Paraplegia [Disease/Finding]	HP:0010550
Paraplegias	HP:0010550
Paralysis of both lower limbs	HP:0010550
Paraplegia (disorder)	HP:0010550
PARAPLEGIA	HP:0010550
Paralysis leg	HP:0010550
leg paralysis	HP:0010550
PARAPLEGIA NOS	HP:0010550
Paraplegia ICD10CM:G82.2 ICD9CM:344.1	HP:0010550
paraplegia	HP:0010550
Paralysis, Lower Limbs	HP:0010550
Paralysis legs	HP:0010550
Paralysis, Legs	HP:0010550
Paraplegia, lower	HP:0010550
paralysis of leg(s) (symptom)	HP:0010550
paralysis of leg(s)	HP:0010550
Paralysis, Lower Extremities	HP:0010550
abnormality of the cerebral subcortex	HP:0010993
